file_name,relative_path,parent_folder,file_extension,file_size_kb
Prieto-Baños & Layton 2025 Table 1.xls,raw_data\Prieto_Banos_Layton_2025\Prieto-Baños & Layton 2025 Table 1.xls,Prieto_Banos_Layton_2025,.xls,29.5
Prieto-Baños & Layton 2025 Table 1.xlsx,raw_data\Prieto_Banos_Layton_2025\Prieto-Baños & Layton 2025 Table 1.xlsx,Prieto_Banos_Layton_2025,.xlsx,17.48
van den Berg  Cheney 2023–2024 supplementary data.pdf,raw_data\van_den_Berg_Cheney\van den Berg  Cheney 2023–2024 supplementary data.pdf,van_den_Berg_Cheney,.pdf,720.54
Brine_Shrimp_Assay_Data.csv,raw_data\UQ_datasets\chemical_defence_modes\Brine_Shrimp_Assay_Data.csv,chemical_defence_modes,.csv,3.95
Figures_S1-8.pdf,raw_data\UQ_datasets\chemical_defence_modes\Figures_S1-8.pdf,chemical_defence_modes,.pdf,602.91
Palaemon_Shrimp_Assay_Data.csv,raw_data\UQ_datasets\chemical_defence_modes\Palaemon_Shrimp_Assay_Data.csv,chemical_defence_modes,.csv,7.32
readme.pdf,raw_data\UQ_datasets\chemical_defence_modes\readme.pdf,chemical_defence_modes,.pdf,42.54
Table_S1.xlsx,raw_data\UQ_datasets\chemical_defence_modes\Table_S1.xlsx,chemical_defence_modes,.xlsx,24.5
Toadfish_Assay_Data.csv,raw_data\UQ_datasets\chemical_defence_modes\Toadfish_Assay_Data.csv,chemical_defence_modes,.csv,38.05
Triggerfish_Assay_Data.csv,raw_data\UQ_datasets\chemical_defence_modes\Triggerfish_Assay_Data.csv,chemical_defence_modes,.csv,2.93
Data for 'Chemical defences indicate distinct colour patterns with reduced variability in aposematic nudibranchs'.csv,raw_data\UQ_datasets\colour_defence_2024\Data for 'Chemical defences indicate distinct colour patterns with reduced variability in aposematic nudibranchs'.csv,colour_defence_2024,.csv,659.39
data_boldness.csv,raw_data\UQ_datasets\detectability_boldness_2023\data_boldness.csv,detectability_boldness_2023,.csv,2805.86
data_detection.csv,raw_data\UQ_datasets\detectability_boldness_2023\data_detection.csv,detectability_boldness_2023,.csv,2805.86
tox_data.xlsx,raw_data\UQ_datasets\detectability_boldness_2023\tox_data.xlsx,detectability_boldness_2023,.xlsx,8.69
Data for Highly defended nudibranchs’ escape’ to visually distinct background habitats.csv,raw_data\UQ_datasets\habitat_background_2024\Data for Highly defended nudibranchs’ escape’ to visually distinct background habitats.csv,habitat_background_2024,.csv,655.86
