species,n_images,toxicity_strength_0_1,mean_normalised_boldness,predicted_mean_normalised_boldness,residual,absolute_residual,leverage,internally_studentised_residual,absolute_studentised_residual,cooks_distance,formal_outlier_abs_studentised_residual_gt_2,residual_rank,selected_for_collage
Dendrodoris nigra,10,0.0,-1.1710094943162106,-0.22145510009510955,-0.9495543942211011,0.9495543942211011,0.06025083518119401,-2.221774453523178,2.221774453523178,0.15824174556052026,True,1,True
Notodoris (=Aegires) gardineri,10,0.0,0.4507149358804973,-0.22145510009510955,0.6721700359756069,0.6721700359756069,0.06025083518119401,1.5727484633246007,1.5727484633246007,0.07929387947184026,False,2,True
Phyllidia varicosa,10,0.525,0.869643049680123,0.20217394063807032,0.6674691090420526,0.6674691090420526,0.05209349841925027,1.5550147582974438,1.5550147582974438,0.06644419693280522,False,3,True
Phyllidiella pustulosa,10,0.4233333333333333,-0.5033557330382129,0.12013784068656558,-0.6234935737247784,0.6234935737247784,0.04185868904304071,-1.4447852327391053,1.4447852327391053,0.045596619923915824,False,4,True
Phyllidia ocellata,10,0.4,0.7207091348959104,0.10130988332064655,0.6193992515752638,0.6193992515752638,0.04031036234742611,1.4341394045338844,1.4341394045338844,0.04319551320584115,False,5,False
Dendrodoris tuberculosa,10,0.0,-0.7724246584495363,-0.22145510009510955,-0.5509695583544267,0.5509695583544267,0.06025083518119401,-1.289162681854514,1.289162681854514,0.053276609382750736,False,6,False
Phyllidia coelestis,10,0.0,0.3183353965221657,-0.22145510009510955,0.5397904966172753,0.5397904966172753,0.06025083518119401,1.2630058298267426,1.2630058298267426,0.05113659866252969,False,7,False
Goniobranchus splendidus,10,0.24,0.4797844826183865,-0.02779611004565591,0.5075805926640424,0.5075805926640424,0.03774547568415975,1.173670321613873,1.173670321613873,0.027017004249783205,False,8,False
Sebadoris fragilis,9,0.0,-0.6841451742402492,-0.22145510009510955,-0.4626900741451397,0.4626900741451397,0.06025083518119401,-1.082605686299474,1.082605686299474,0.03757177691333501,False,9,False
Halgerda aurantiomaculata,10,0.0,0.2103460785506353,-0.22145510009510955,0.43180117864574485,0.43180117864574485,0.06025083518119401,1.0103316182357938,1.0103316182357938,0.032722691359277356,False,10,False
Phyllidia elegans,10,0.0,-0.643747167044524,-0.22145510009510955,-0.4222920669494144,0.4222920669494144,0.06025083518119401,-0.9880821277682829,0.9880821277682829,0.03129732466945336,False,11,False
Hypselodoris bennetti,10,0.88,0.0932522667882975,0.48862786341955383,-0.3953755966312563,0.3953755966312563,0.13233362871141333,-0.9627634015828996,0.9627634015828996,0.07068489310622135,False,12,False
Ceratosoma trilobatum,10,0.3199999999999999,-0.3233338335450394,0.03675688663749521,-0.36009072018253463,0.36009072018253463,0.03727107304966401,-0.8324267235176923,0.8324267235176923,0.013413123013327937,False,13,False
Hypselodoris obscura,10,0.65,-0.0093042361807139,0.3030379979554941,-0.312342234136208,0.312342234136208,0.07245498393506329,-0.7356128540845392,0.7356128540845392,0.021134982453639047,False,14,False
Dendrodoris krusensternii (=denisoni),10,0.0,-0.5317437616690528,-0.22145510009510955,-0.31028866157394325,0.31028866157394325,0.06025083518119401,-0.7260157245319042,0.7260157245319042,0.016897139181431174,False,15,False
Aphelodoris varia,8,0.0,0.036554825005218,-0.22145510009510955,0.25800992510032755,0.25800992510032755,0.06025083518119401,0.6036935470279747,0.6036935470279747,0.011682995100436444,False,16,False
Goniobranchus collingwoodi,10,0.0,0.0333395028257726,-0.22145510009510955,0.25479460292088213,0.25479460292088213,0.06025083518119401,0.5961703122121345,0.5961703122121345,0.011393622293617943,False,17,False
Ceratosoma brevicaudatum,10,0.28,-0.2519361158422393,0.004480388295919735,-0.25641650413815903,0.25641650413815903,0.03706906287537966,-0.5926994170653296,0.5926994170653296,0.00676169335595614,False,18,False
Chromodoris elisabethina,10,0.996,0.8114795298585115,0.5822297086101231,0.22924982124838833,0.22924982124838833,0.17355091329848457,0.5719881728199034,0.5719881728199034,0.03435222735417523,False,19,False
Goniobranchus tinctorius,9,0.07,0.0700350853270281,-0.16497122799735223,0.23500631332438032,0.23500631332438032,0.05042013652628806,0.5470158072568301,0.5470158072568301,0.007944055653059971,False,20,False
Chromodoris kuiteri,10,0.998,0.7805496194667046,0.5838435335272019,0.19670608593950278,0.19670608593950278,0.17432633983119372,0.49102055952328516,0.49102055952328516,0.025452118668279154,False,21,False
Ardeadoris rubroannulata,10,0.9993,0.4699273658371867,0.584892519723303,-0.11496515388611633,0.11496515388611633,0.17483154471326628,-0.2870655066564445,0.2870655066564445,0.008729898709765276,False,22,False
Glossodoris hikuerensis,10,0.0,-0.1261871900051629,-0.22145510009510955,0.09526791008994664,0.09526791008994664,0.06025083518119401,0.22290856655137664,0.22290856655137664,0.0015928491402445446,False,23,False
Goniobranchus tasmaniensis,10,0.14,-0.0290832367900421,-0.1084873558995949,0.0794041191095528,0.0794041191095528,0.04327960825701701,0.18413511270247057,0.18413511270247057,0.0007669049106935389,False,24,False
Doriprismatica atromarginata,9,0.93,0.4693993794010805,0.5289734863465234,-0.059574106945442906,0.059574106945442906,0.14919382595283123,-0.14649686111970472,0.14649686111970472,0.0018816847349249297,False,25,False
Ardeadoris egretta,10,0.0,-0.1950433532135423,-0.22145510009510955,0.02641174688156725,0.02641174688156725,0.06025083518119401,0.06179840233641516,0.06179840233641516,0.0001224265531269225,False,26,False
Phyllidiopsis shireenae,10,0.0,-0.2164636443411216,-0.22145510009510955,0.004991455753987933,0.004991455753987933,0.06025083518119401,0.011679045400235821,0.011679045400235821,4.3725604339300085e-06,False,27,False
