species,image_id,image_level_boldness_score,original_image_path,scaled_image_output_path,mask_source,image_slot,display_position,selection_order,residual_rank,toxicity_strength_0_1,mean_normalised_boldness,internally_studentised_residual,formal_outlier_abs_studentised_residual_gt_2,observation_id,observation_url,license,photographer_or_observer,date_accessed,image_path_used,image_source_used,attribution_complete
Dendrodoris nigra,Dendrodoris_nigra_img05,-1.6697902775164168,raw_data/formal_images/Dendrodoris_nigra/Dendrodoris_nigra_img05.jpg,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120_final/Dendrodoris_nigra/Dendrodoris_nigra_img05_sam_scaled_ring120_final_scaled_image.png,manual_rescue,5,Lower image-level boldness,1,1,0.0,-1.1710094943162106,-2.221774453523178,True,387432567,https://www.inaturalist.org/observations/387432567,CC-BY-NC,Mike Kilburn (mikekilburn98),2026/8/12,raw_data/formal_images/Dendrodoris_nigra/Dendrodoris_nigra_img05.jpg,original image,True
Dendrodoris nigra,Dendrodoris_nigra_img01,-0.8734219331681109,raw_data/formal_images/Dendrodoris_nigra/Dendrodoris_nigra_img01.jpg,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120_final/Dendrodoris_nigra/Dendrodoris_nigra_img01_sam_scaled_ring120_final_scaled_image.png,manual_rescue,1,Median image-level boldness,2,1,0.0,-1.1710094943162106,-2.221774453523178,True,390239736,https://www.inaturalist.org/observations/390239736,CC-BY-NC,penguingough,2026/8/12,raw_data/formal_images/Dendrodoris_nigra/Dendrodoris_nigra_img01.jpg,original image,True
Dendrodoris nigra,Dendrodoris_nigra_img02,-0.1195558839303783,raw_data/formal_images/Dendrodoris_nigra/Dendrodoris_nigra_img02.jpg,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120_final/Dendrodoris_nigra/Dendrodoris_nigra_img02_sam_scaled_ring120_final_scaled_image.png,manual_rescue,2,Higher image-level boldness,3,1,0.0,-1.1710094943162106,-2.221774453523178,True,389539467,https://www.inaturalist.org/observations/389539467,CC-BY-NC,Mitchell Roberts (mitchell2469),2026/8/12,raw_data/formal_images/Dendrodoris_nigra/Dendrodoris_nigra_img02.jpg,original image,True
Notodoris (=Aegires) gardineri,Notodoris_Aegires_gardineri_img07,-0.13084350474248974,raw_data/formal_images/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img07.jpg,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120_final/Notodoris_(=Aegires)_gardineri/Notodoris_Aegires_gardineri_img07_sam_scaled_ring120_final_scaled_image.png,manual_rescue,7,Lower image-level boldness,1,2,0.0,0.4507149358804973,1.5727484633246007,False,365378847,https://www.inaturalist.org/observations/365378847,CC-BY-NC,bewambay,2026/8/12,raw_data/formal_images/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img07.jpg,original image,True
Notodoris (=Aegires) gardineri,Notodoris_Aegires_gardineri_img05,0.20004838810559267,raw_data/formal_images/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img05.jpg,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120_final/Notodoris_(=Aegires)_gardineri/Notodoris_Aegires_gardineri_img05_sam_scaled_ring120_final_scaled_image.png,manual_rescue,5,Median image-level boldness,2,2,0.0,0.4507149358804973,1.5727484633246007,False,366224914,https://www.inaturalist.org/observations/366224914,CC-BY-NC,pclark2,2026/8/12,raw_data/formal_images/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img05.jpg,original image,True
Notodoris (=Aegires) gardineri,Notodoris_Aegires_gardineri_img04,0.9301161294075154,raw_data/formal_images/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img04.jpg,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120_final/Notodoris_(=Aegires)_gardineri/Notodoris_Aegires_gardineri_img04_sam_scaled_ring120_final_scaled_image.png,manual_rescue,4,Higher image-level boldness,3,2,0.0,0.4507149358804973,1.5727484633246007,False,372879778,https://www.inaturalist.org/observations/372879778,CC-BY-NC,Gala (galadiki),2026/8/12,raw_data/formal_images/Notodoris_Aegires_gardineri/Notodoris_Aegires_gardineri_img04.jpg,original image,True
Phyllidia varicosa,Phyllidia_varicosa_img07,-0.27067442763145644,raw_data/formal_images/Phyllidia_varicosa/Phyllidia_varicosa_img07.jpg,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120_final/Phyllidia_varicosa/Phyllidia_varicosa_img07_sam_scaled_ring120_final_scaled_image.png,automatic_qc_pass,7,Lower image-level boldness,1,3,0.525,0.869643049680123,1.5550147582974438,False,388820832,https://www.inaturalist.org/observations/388820832,CC-BY-NC,orionsmcc,2026/8/12,raw_data/formal_images/Phyllidia_varicosa/Phyllidia_varicosa_img07.jpg,original image,True
Phyllidia varicosa,Phyllidia_varicosa_img09,0.6571327556321593,raw_data/formal_images/Phyllidia_varicosa/Phyllidia_varicosa_img09.jpg,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120_final/Phyllidia_varicosa/Phyllidia_varicosa_img09_sam_scaled_ring120_final_scaled_image.png,manual_rescue,9,Median image-level boldness,2,3,0.525,0.869643049680123,1.5550147582974438,False,386209037,https://www.inaturalist.org/observations/386209037,CC-BY-NC,maxdebeer,2026/8/12,raw_data/formal_images/Phyllidia_varicosa/Phyllidia_varicosa_img09.jpg,original image,True
Phyllidia varicosa,Phyllidia_varicosa_img02,1.3204255963248188,raw_data/formal_images/Phyllidia_varicosa/Phyllidia_varicosa_img02.jpg,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120_final/Phyllidia_varicosa/Phyllidia_varicosa_img02_sam_scaled_ring120_final_scaled_image.png,manual_rescue,2,Higher image-level boldness,3,3,0.525,0.869643049680123,1.5550147582974438,False,389905506,https://www.inaturalist.org/observations/389905506,CC-BY-NC,alla_tishkovich,2026/8/12,raw_data/formal_images/Phyllidia_varicosa/Phyllidia_varicosa_img02.jpg,original image,True
Phyllidiella pustulosa,Phyllidiella_pustulosa_img02,-1.1328898345524505,raw_data/formal_images/Phyllidiella_pustulosa/Phyllidiella_pustulosa_img02.jpg,processed_data/automated_image_analysis/scaled_images/sam_scaled_ring120_final/Phyllidiella_pustulosa/Phyllidiella_pustulosa_img02_sam_scaled_ring120_final_scaled_image.png,automatic_qc_pass,2,Lower image-level boldness,1,4,0.4233333333333333,-0.5033557330382129,-1.4447852327391053,False,364933098,https://www.inaturalist.org/observations/364933098,CC BY-NC,mayamegret,2026/6/18,raw_data/formal_images/Phyllidiella_pustulosa/Phyllidiella_pustulosa_img02.jpg,original image,True
