species,species_original,family,authority,body_part,chemical_defence_class,unpalatability_ps_ed50,unpalatability_tf_ed50,unpalatability_trf_ed50,toxicity_bs_ld50,toxicity_df_wm,number_of_individuals,collection_location,coordinates,source_dataset,chemical_defence_class_raw,chemical_defence_class_status,unpalatability_ps_ed50_raw,unpalatability_ps_ed50_status,unpalatability_ps_ed50_exact_values,unpalatability_ps_ed50_exact_n,unpalatability_ps_ed50_exact_mean,unpalatability_ps_ed50_gt_thresholds,unpalatability_ps_ed50_lt_thresholds,unpalatability_ps_ed50_has_nr,unpalatability_ps_ed50_has_inconclusive,unpalatability_ps_ed50_unparsed_components,unpalatability_tf_ed50_raw,unpalatability_tf_ed50_status,unpalatability_tf_ed50_exact_values,unpalatability_tf_ed50_exact_n,unpalatability_tf_ed50_exact_mean,unpalatability_tf_ed50_gt_thresholds,unpalatability_tf_ed50_lt_thresholds,unpalatability_tf_ed50_has_nr,unpalatability_tf_ed50_has_inconclusive,unpalatability_tf_ed50_unparsed_components,unpalatability_trf_ed50_raw,unpalatability_trf_ed50_status,unpalatability_trf_ed50_exact_values,unpalatability_trf_ed50_exact_n,unpalatability_trf_ed50_exact_mean,unpalatability_trf_ed50_gt_thresholds,unpalatability_trf_ed50_lt_thresholds,unpalatability_trf_ed50_has_nr,unpalatability_trf_ed50_has_inconclusive,unpalatability_trf_ed50_unparsed_components,toxicity_bs_ld50_raw,toxicity_bs_ld50_status,toxicity_bs_ld50_exact_values,toxicity_bs_ld50_exact_n,toxicity_bs_ld50_exact_mean,toxicity_bs_ld50_gt_thresholds,toxicity_bs_ld50_lt_thresholds,toxicity_bs_ld50_has_nr,toxicity_bs_ld50_has_inconclusive,toxicity_bs_ld50_unparsed_components,toxicity_df_wm_raw,toxicity_df_wm_status,toxicity_df_wm_exact_values,toxicity_df_wm_exact_n,toxicity_df_wm_exact_mean,toxicity_df_wm_gt_thresholds,toxicity_df_wm_lt_thresholds,toxicity_df_wm_has_nr,toxicity_df_wm_has_inconclusive,toxicity_df_wm_unparsed_components,unpalatability_strength_0_1,unpalatability_strength_status,unpalatability_strength_n_components,toxicity_strength_0_1,toxicity_strength_status,toxicity_strength_n_components,boldness_PC1,boldness_PC2,boldness_PC3,boldness_PC4,boldness_PC5,boldness_PC6,detectability_PC1,detectability_PC2,detectability_PC3,detectability_PC4,detectability_PC5,detectability_PC6,detectability_PC7,detectability_PC8,detectability_PC9
Aphelodoris varia,Aphelodoris varia,Dorididae,"Abraham, 1877",WB,NR; WR/NR,nr,,> 1,nr,1,7.0,"Nelson Bay, NSW; Sydney, NSW",32o72’S; 152o15’E; 34o04’S; 151o09’E,chemical_defence_modes_Table_S1_species_summary,NR; WR/NR,mixed_or_uncertain,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,,> 1,greater_than,,0,,1,,False,False,,nr,nr,,0,,,,True,False,,1,measured,1,1,1.0,,,False,False,,0.0,resolved_single,1,0.0,resolved_single,1,1.2225143647420758,-1.1802908338063327,-0.0563189160065843,0.3070401160750741,-0.1111615074001938,-0.038041249328587,-1.5568422577086394,0.8346670020418622,-0.3778758582284653,0.0726199914059256,-0.3905333374894398,1.0835498398376393,0.926707302602626,-0.1074604727467035,-0.185883796906926
Ardeadoris egretta,Ardeadoris egretta (1); Ardeadoris egretta (2),Chromodorididae,"Rudman, 1984",M; WB,WR,0.65; > 1,> 1,,> 1,,4.0,"GBR, supplied by Cairns Marine Ltd. Stratford, QLD; Lizard Island, GBR",14°40’S; 145°28’E,chemical_defence_modes_Table_S1_species_summary,WR,simple,0.65; > 1,measured_plus_greater_than,0.65,1,0.65,1,,False,False,,> 1,greater_than,,0,,1,,False,False,,,missing,,0,,,,False,False,,> 1,greater_than,,0,,1,,False,False,,,missing,,0,,,,False,False,,0.175,resolved_multiple,2,0.0,resolved_single,1,-1.6531350637344056,2.3668799145962653,0.5416436758551646,-0.7747759213875524,0.4381184123219735,-0.2448203573976693,1.984009498221145,1.3759770214385256,-0.4288727332677727,2.1500072886388018,1.213678081630332,-0.0852821775959592,0.1280540088218748,0.4311942801405849,0.181599547675121
Ardeadoris rubroannulata,Ardeadoris rubroannulata,Chromodorididae,"Rudman, 1986",WB,I&II,0.083,,,0.0007,,2.0,"Mooloolaba, SE QLD",26°40’S; 153°07’E,chemical_defence_modes_Table_S1_species_summary,I&II,simple,0.083,measured,0.083,1,0.083,,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,0.0007,measured,0.0007,1,0.0007,,,False,False,,,missing,,0,,,,False,False,,0.917,resolved_single,1,0.9993,resolved_single,1,-1.0384839402880954,-0.945088364907162,0.9838598374003742,-0.765980620472882,-0.1516950238880955,0.0028290733782894,1.126642418259535,1.294728897539836,1.998062049041456,0.0245154715551005,-0.0389050810294136,-0.1510364331211091,0.3919880432816126,-0.1020861245754812,0.2512558825217144
Ceratosoma brevicaudatum,Ceratosoma brevicaudatum,Chromodorididae,"Abraham, 1876",WB,WR,>1,>1,nr,0.72,,3.0,"Nelson Bay, NSW",32°72’S; 152°15’E,chemical_defence_modes_Table_S1_species_summary,WR,simple,>1,greater_than,,0,,1,,False,False,,>1,greater_than,,0,,1,,False,False,,nr,nr,,0,,,,True,False,,0.72,measured,0.72,1,0.72,,,False,False,,,missing,,0,,,,False,False,,0.0,resolved_single,1,0.28,resolved_single,1,0.6994139160481241,-0.1919815664879158,1.2782877731009656,-0.2235567407599813,-0.5356955727514779,0.2147708853097259,-0.4995827518241587,0.8687262721835879,0.923036262303308,-0.0062800659422566,-1.2116153511289405,-0.5095717380441412,0.1078536094224139,0.2537626104171818,0.1795034993399568
Ceratosoma trilobatum,Ceratosoma trilobatum,Chromodorididae,"Gray, 1850",WB,WR,>1,,,0.68,,3.0,"North Stradbroke Island, SE QLD",27°41’S; 153°53’E,chemical_defence_modes_Table_S1_species_summary,WR,simple,>1,greater_than,,0,,1,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,0.68,measured,0.68,1,0.68,,,False,False,,,missing,,0,,,,False,False,,0.0,resolved_single,1,0.31999999999999995,resolved_single,1,-0.3018009379509781,0.7214620306765577,1.1817163743256485,-0.3393709827583623,-0.9456649454275852,-0.0658253552086945,0.367537149898843,0.6873077009262366,1.1361376380576218,-0.92987451514538,0.3484884269002419,-1.5373990229843435,0.0162441761108782,-0.7537507092889438,0.4413446118381148
Chromodoris elisabethina,Chromodoris elisabethina; Chromodoris elisabethina (2),Chromodorididae,"Bergh, 1877",WB,I&II,0.45; > 0.13,0.04,0.26; 1.1,0.004,,35.0,"Mooloolaba, SE QLD",26o40’S; 153o07’E; 26°40’S; 153°07’E,chemical_defence_modes_Table_S1_species_summary,I&II,simple,0.45; > 0.13,measured_plus_greater_than,0.45,1,0.45,0.13,,False,False,,0.04,measured,0.04,1,0.04,,,False,False,,0.26; 1.1,measured_multiple,0.26; 1.1,2,0.68,,,False,False,,0.004,measured,0.004,1,0.004,,,False,False,,,missing,,0,,,,False,False,,,censored_excluded,1,0.996,resolved_single,1,-1.0696503224939613,-2.362535049376201,0.4255787027306491,-0.4236325617415852,-0.605045906495152,-0.0388844451919543,-0.2800348288934939,-1.858394651175928,1.0759203596730067,0.5757552814341051,0.0783030706747608,-1.1573677185731743,0.6497312007557978,0.2176009841614668,-0.2314741699054701
Chromodoris kuiteri,Chromodoris kuiteri; Chromodoris kuiteri (2),Chromodorididae,"Rudman, 1982",WB,I&II,0.26,0.08,0.23,0.002,,21.0,"Mooloolaba, SE QLD",26o40’S; 153o07’E,chemical_defence_modes_Table_S1_species_summary,I&II,simple,0.26,measured,0.26,1,0.26,,,False,False,,0.08,measured,0.08,1,0.08,,,False,False,,0.23,measured,0.23,1,0.23,,,False,False,,0.002,measured,0.002,1,0.002,,,False,False,,,missing,,0,,,,False,False,,0.74,resolved_single,1,0.998,resolved_single,1,-1.969802360076201,-1.2149401005474685,-0.1948920863349896,0.4376963781689806,0.4934833839579565,-0.2885081432045303,0.6621463804909158,-2.7041058790300454,-0.9944404018449852,-0.5662638267638466,0.4914219693286398,-0.1140319143824298,0.2971859205576655,-0.1332171298991281,-0.1702125348954851
Dendrodoris krusensternii (=denisoni),Dendrodoris krusensternii (=denisoni),Dendrodorididae,"Gray, 1850",WB,NR,, nr,,nr,,1.0,"North Stradbroke Island, SE QLD",27 o41’S; 153 o53’E,chemical_defence_modes_Table_S1_species_summary,NR,simple,,missing,,0,,,,False,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,,,missing,0,0.0,resolved_single,1,2.638916482153759,0.211205011570005,-0.9163497669019488,0.4654859837647251,0.1125349176270469,-0.366025728464357,-3.4383453003274664,0.1963985840285401,-0.5908315943199528,-0.8195108998115892,0.4615657583956019,0.3447407173370905,-0.3301445449405177,-0.624314633968388,0.1477268400810626
Dendrodoris nigra,Dendrodoris nigra,Dendrodorididae,"Stimpson, 1855",WB,WR/NR,,nr,,> 1,,5.0,"North Stradbroke Island, SE QLD",27 o41’S; 153 o53’E,chemical_defence_modes_Table_S1_species_summary,WR/NR,mixed_or_uncertain,,missing,,0,,,,False,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,,> 1,greater_than,,0,,1,,False,False,,,missing,,0,,,,False,False,,,missing,0,0.0,resolved_single,1,0.967675233552863,3.043459285096966,0.7001207344088616,0.247216097043522,-0.709990930845854,-0.9478983007936896,1.2705020199712829,1.3814695766678369,-0.3803153148764289,0.5516152926136928,-2.1958411144512717,1.3141154335036314,0.3524327432149664,-0.2875549266483889,0.1433270635998315
Dendrodoris tuberculosa,Dendrodoris tuberculosa,Dendrodorididae,"Quoy & Gaimard, 1832",WB,NR,nr,nr,nr,nr,,2.0,"Lizard Island, GBR",14o40’S; 145o28’E,chemical_defence_modes_Table_S1_species_summary,NR,simple,nr,nr,,0,,,,True,False,,nr,nr,,0,,,,True,False,,nr,nr,,0,,,,True,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,,0.0,resolved_single,1,0.0,resolved_single,1,3.0726608107850417,0.6007658729272826,0.1218393161304699,-0.2334015117419305,-0.0708649079677665,0.0224443675972488,-4.107231030048168,0.5617129269663192,-0.9634572373415374,-0.2877399855312571,0.1085957754623235,-0.4846987041515012,-0.2379012067112186,-0.1396336750158335,-0.1367374569206678
