species,n_whole_body_extracts,whole_body_extract_ids,chemical_defence_class_raw,toxicity_df_wm_raw_values,toxicity_bs_ld50_raw_values,toxicity_bs_ld50_species_status,n_toxicity_bs_ld50_exact,toxicity_bs_ld50_exact_values,toxicity_bs_ld50_exact_mean,n_toxicity_bs_ld50_left_censored,toxicity_bs_ld50_left_censored_bounds,n_toxicity_bs_ld50_right_censored,toxicity_bs_ld50_right_censored_bounds,n_toxicity_bs_ld50_no_response,n_toxicity_bs_ld50_inconclusive,n_toxicity_bs_ld50_missing,n_toxicity_bs_ld50_unclassified,unpalatability_ps_ed50_raw_values,unpalatability_ps_ed50_species_status,n_unpalatability_ps_ed50_exact,unpalatability_ps_ed50_exact_values,unpalatability_ps_ed50_exact_mean,n_unpalatability_ps_ed50_left_censored,unpalatability_ps_ed50_left_censored_bounds,n_unpalatability_ps_ed50_right_censored,unpalatability_ps_ed50_right_censored_bounds,n_unpalatability_ps_ed50_no_response,n_unpalatability_ps_ed50_inconclusive,n_unpalatability_ps_ed50_missing,n_unpalatability_ps_ed50_unclassified
Aphelodoris varia,2,Ap_var1; Ap_var2,NR; WR/NR,1,nr,no_response,0,,,0,,0,,1,0,1,0,nr,no_response,0,,,0,,0,,2,0,0,0
Ardeadoris egretta,1,Ad_egret1,WR,,> 1,right_censored_only,0,,,0,,1,1.0,0,0,0,0,> 1,right_censored_only,0,,,0,,1,1.0,0,0,0,0
Ardeadoris rubroannulata,1,Ad_rubro,I&II,,0.0007,exact_numeric_available,1,0.0007,0.0007,0,,0,,0,0,0,0,0.083,exact_numeric_available,1,0.083,0.083,0,,0,,0,0,0,0
Ceratosoma brevicaudatum,1,Cr_brevi,WR,,0.72,exact_numeric_available,1,0.72,0.72,0,,0,,0,0,0,0,>1,right_censored_only,0,,,0,,1,1.0,0,0,0,0
Ceratosoma trilobatum,1,Cr_trilo,WR,,0.68,exact_numeric_available,1,0.68,0.68,0,,0,,0,0,0,0,>1,right_censored_only,0,,,0,,1,1.0,0,0,0,0
Chromodoris elisabethina,2,Cm_elisa1; Cm_elisa2,I&II,,0.004,exact_numeric_available,1,0.004,0.004,0,,0,,0,0,1,0,0.45; > 0.13,exact_numeric_available,1,0.45,0.45,0,,1,0.13,0,0,0,0
Chromodoris kuiteri,2,Cm_kuite1; Cm_kuite2,I&II,,0.002,exact_numeric_available,1,0.002,0.002,0,,0,,0,0,1,0,0.26,exact_numeric_available,2,0.26; 0.26,0.26,0,,0,,0,0,0,0
Dendrodoris krusensternii (=denisoni),1,Dn_kruse,NR,,nr,no_response,0,,,0,,0,,1,0,0,0,,missing,0,,,0,,0,,0,0,1,0
Dendrodoris nigra,1,Dn_nigra,WR/NR,,> 1,right_censored_only,0,,,0,,1,1.0,0,0,0,0,,missing,0,,,0,,0,,0,0,1,0
Dendrodoris tuberculosa,1,Dn_tuber,NR,,nr,no_response,0,,,0,,0,,1,0,0,0,nr,no_response,0,,,0,,0,,1,0,0,0
Doriprismatica atromarginata,2,Dp_atrom1; Dp_atrom2,I&II,,0.07,exact_numeric_available,1,0.07,0.07,0,,0,,0,0,1,0,0.37; 0.15,exact_numeric_available,2,0.37; 0.15,0.26,0,,0,,0,0,0,0
Glossodoris hikuerensis,1,Gl_hikeu,WR,,nr,no_response,0,,,0,,0,,1,0,0,0,nr,no_response,0,,,0,,0,,1,0,0,0
Goniobranchus collingwoodi,1,Gn_colli,II / WR,,nr,no_response,0,,,0,,0,,1,0,0,0,0.09,exact_numeric_available,1,0.09,0.09,0,,0,,0,0,0,0
Goniobranchus daphne,1,Gn_daphn,II,,> 0.5,right_censored_only,0,,,0,,1,0.5,0,0,0,0,0.43,exact_numeric_available,1,0.43,0.43,0,,0,,0,0,0,0
Goniobranchus splendidus,2,Gn_splend1; Gn_splend3,II,3,nr,no_response,0,,,0,,0,,2,0,0,0,0.18; 0.25,exact_numeric_available,2,0.18; 0.25,0.215,0,,0,,0,0,0,0
Goniobranchus tasmaniensis,1,Gn_tasma,II,,0.86,exact_numeric_available,1,0.86,0.86,0,,0,,0,0,0,0,< 0.25,left_censored_only,0,,,1,0.25,0,,0,0,0,0
Goniobranchus tinctorius,1,Gn_tinct1,II,,nr,no_response,0,,,0,,0,,1,0,0,0,0.15,exact_numeric_available,1,0.15,0.15,0,,0,,0,0,0,0
Halgerda aurantiomaculata,1,Hg_auran,NR,,nr,no_response,0,,,0,,0,,1,0,0,0,nr,no_response,0,,,0,,0,,1,0,0,0
Hypselodoris bennetti,1,Hp_benne,I&II,,0.12,exact_numeric_available,1,0.12,0.12,0,,0,,0,0,0,0,0.27,exact_numeric_available,1,0.27,0.27,0,,0,,0,0,0,0
Hypselodoris obscura,2,Hp_obscu1; Hp_obscu2,I,,0.35,exact_numeric_available,1,0.35,0.35,0,,0,,0,0,1,0,>1,right_censored_only,0,,,0,,1,1.0,0,0,1,0
Hypselodoris tryoni,2,Hp_tryon1; Hp_tryon2,,,NA (inconclusive),inconclusive,0,,,0,,0,,0,1,1,0,nr,no_response,0,,,0,,0,,1,0,1,0
Mexichromis festiva,1,Mx_festiNB,WR,,,missing,0,,,0,,0,,0,0,1,0,>1,right_censored_only,0,,,0,,1,1.0,0,0,0,0
