col_mean,col_sd,col_cov,col_skew,col_kurtosis,lum_mean,lum_sd,lum_cov,lum_skew,lum_kurtosis,col_mean_hrz,col_sd_hrz,col_cov_hrz,col_skew_hrz,col_kurtosis_hrz,col_mean_vrt,col_sd_vrt,col_cov_vrt,col_skew_vrt,col_kurtosis_vrt,lum_mean_hrz,lum_sd_hrz,lum_cov_hrz,lum_skew_hrz,lum_kurtosis_hrz,lum_mean_vrt,lum_sd_vrt,lum_cov_vrt,lum_skew_vrt,lum_kurtosis_vrt,gabrat,caa_sc,caa_jc,caa_st,caa_jt,caa_hc,caa_qc,caa_ht,caa_qt,caa_scpl,caa_qcpl,caa_c,caa_sc_hrz,caa_sc_vrt,caa_jc_hrz,caa_jc_vrt,caa_st_hrz,caa_st_vrt,caa_jt_hrz,caa_jt_vrt,caa_hc_hrz,caa_hc_vrt,caa_qc_hrz,caa_qc_vrt,caa_ht_hrz,caa_ht_vrt,caa_qt_hrz,caa_qt_vrt,caa_scpl_hrz,caa_scpl_vrt,caa_qcpl_hrz,caa_qcpl_vrt,caa_c_hrz,caa_c_vrt,caa_pt,caa_pt_hrz,caa_pt_vrt,caa_asp,vca_ml,vca_sl,vca_cvl,vca_mdmax,vca_sdmax,vca_cvdmax,vca_mssat,vca_sssat,vca_cvssat,vca_msl,vca_ssl,vca_cvsl,vca_ms,vca_ss,vca_cvs,vca_ml_hrz,vca_sl_hrz,vca_cvl_hrz,vca_ml_vrt,vca_sl_vrt,vca_cvl_vrt,vca_mdmax_hrz,vca_sdmax_hrz,vca_cvdmax_hrz,vca_mdmax_vrt,vca_sdmax_vrt,vca_cvdmax_vrt,vca_mssat_hrz,vca_sssat_hrz,vca_cvssat_hrz,vca_mssat_vrt,vca_sssat_vrt,vca_cvssat_vrt,vca_msl_hrz,vca_ssl_hrz,vca_cvsl_hrz,vca_msl_vrt,vca_ssl_vrt,vca_cvsl_vrt,vca_ms_hrz,vca_ss_hrz,vca_cvs_hrz,vca_ms_vrt,vca_ss_vrt,vca_cvs_vrt,bsa_bml,bsa_bsl,bsa_bcvl,bsa_bmdmax,bsa_bsdmax,bsa_bcvdmax,bsa_bmssat,bsa_bsssat,bsa_bcvssat,bsa_bmsl,bsa_bssl,bsa_bcvsl,bsa_bms,bsa_bss,bsa_bcvs,bsa_bml_hrz,bsa_bsl_hrz,bsa_bcvl_hrz,bsa_bml_vrt,bsa_bsl_vrt,bsa_bcvl_vrt,bsa_bmdmax_hrz,bsa_bsdmax_hrz,bsa_bcvdmax_hrz,bsa_bmdmax_vrt,bsa_bsdmax_vrt,bsa_bcvdmax_vrt,bsa_bmssat_hrz,bsa_bsssat_hrz,bsa_bcvssat_hrz,bsa_bmssat_vrt,bsa_bsssat_vrt,bsa_bcvssat_vrt,bsa_bmsl_hrz,bsa_bssl_hrz,bsa_bcvsl_hrz,bsa_bmsl_vrt,bsa_bssl_vrt,bsa_bcvsl_vrt,bsa_bms_hrz,bsa_bss_hrz,bsa_bcvs_hrz,bsa_bms_vrt,bsa_bss_vrt,bsa_bcvs_vrt,roi,dist,species,individual,database,site,daytime,source_dataset
0.135178281,0.290721757,2.150654337,4.09440541,30.40486522,0.657997103,1.383464607,2.102539056,3.586044309,23.57893975,0.077209806,0.215535599,2.791557319,6.34741926,64.01479379,0.05990801,0.153173123,2.556805381,6.334909736,69.44773022,0.374731049,1.009144691,2.692983924,5.332223493,44.01254716,0.284363468,0.764678014,2.689086684,6.850178669,82.47049844,0.288044597,2.055184171,0.513796043,3.256377466,0.542729578,0.971767565,0.700982123,1.352719764,0.754967275,0.52826281,0.727974699,0.03335117,2.048309441,2.062010267,0.51207736,0.515502567,3.375368814,3.097165906,0.562561469,0.516194318,0.969042501,0.974454544,0.540832917,0.543853436,1.386908738,1.302183125,1.000443179,0.939326568,0.537319415,0.515848442,0.770638048,0.741590002,0.037390384,0.029319132,852.3454208,25.7448445,33.1074216,0.437448652,0.110169324,0.031874895,0.289326414,0.150802309,0.024169064,0.160269852,3.904632212,0.353234125,0.090465403,11.82873769,5.896380883,0.4984793,2.178785507,1.427956061,0.655390839,0.110930762,0.031596984,0.284835186,0.110759725,0.03168904,0.286106167,0.151202575,0.023920875,0.15820415,0.151096128,0.024002743,0.15885743,3.907880519,0.348004317,0.089051934,3.906688929,0.349538105,0.089471701,11.83408637,5.897268235,0.498328984,11.82344291,5.895495968,0.498627685,2.178788425,1.428429768,0.655607379,2.178782618,1.427486972,0.655176409,0.184941494,0.062062697,0.335580162,0.085834647,0.076840854,0.895219548,0.056797372,0.043739725,0.770101209,7.516487658,2.659342025,0.353801156,1.354318694,0.729922875,0.538959462,0.188612685,0.065539355,0.347481161,0.180267981,0.056923013,0.315768851,0.086688658,0.077600159,0.89515931,0.084747471,0.075846553,0.894971281,0.056898966,0.043691503,0.767878683,0.05666804,0.043800626,0.772933493,7.672998372,2.812512096,0.366546682,7.317245766,2.433123652,0.332519056,1.382915439,0.758956935,0.548809359,1.317914351,0.689142401,0.522903784,animal,2cm,Aphelodoris varia,3_AphelodorisVaria_39_NP_D_RAW_AOB,animals_on_background,NP,D,colour_defence_2024
0.312684638,0.613308898,1.961429578,3.242542183,15.94148817,1.10306253,2.143528926,1.943252416,3.442716092,18.6592454,0.170666832,0.433466428,2.539839891,4.844036175,32.05288462,0.146198446,0.370318493,2.532985149,5.336355026,39.66010837,0.600470876,1.531198125,2.549995655,5.201799093,38.44241959,0.504828476,1.293946163,2.563140204,5.763934276,48.38428698,0.173942304,4.754232766,0.679176109,6.626603779,0.315552561,1.747361251,0.89796605,2.212650893,0.751467736,0.497364335,0.824716893,0.03995753,4.759639615,4.748854045,0.679948516,0.678407721,6.384337203,6.889131527,0.304016057,0.328053882,1.748125345,1.746598311,0.593704049,0.604281545,2.189784583,2.230480084,1.125326667,1.146240018,0.491982287,0.503230801,0.859515358,0.875260781,0.042967498,0.036949187,580.5383782,22.27340514,26.06419515,0.460788393,0.069140355,0.038927683,0.563024056,0.145324799,0.064860814,0.44631621,3.910941732,1.783040638,0.455910817,13.93037213,8.477690745,0.608576043,3.824164924,1.86330411,0.487244705,0.069231629,0.039036075,0.563847414,0.069256067,0.039044857,0.563775261,0.145652273,0.064650793,0.443870816,0.145770026,0.06469769,0.443833971,3.920157439,1.777449573,0.453412803,3.923833159,1.778315771,0.453208814,13.93044951,8.477445217,0.608555037,13.93029527,8.4779346,0.608596906,3.824020984,1.863614418,0.487344192,3.824307888,1.862995843,0.487145883,0.26398382,0.075330742,0.285361208,0.329285353,0.19251777,0.584653306,0.333248875,0.201216591,0.603802763,10.88496615,3.297998317,0.302986548,3.127839771,1.194902949,0.38202179,0.267009672,0.076355881,0.285966723,0.260467013,0.074071835,0.284380869,0.325859042,0.192234227,0.589930621,0.333267595,0.193064206,0.579306865,0.329211073,0.201504395,0.612082677,0.337941823,0.201084451,0.595026827,11.01949754,3.363810891,0.305259916,10.72860661,3.217322312,0.299882588,3.120540185,1.173512,0.376060531,3.136323738,1.221121127,0.389347921,animal,2cm,Aphelodoris varia,3_AphelodorisVaria_38_NF_D_RAW_AOB,animals_on_background,NF,D,colour_defence_2024
0.087432458,0.220834547,2.525773044,7.391121524,88.39835874,0.556899769,1.380853336,2.479536558,6.430680729,66.65744583,0.050118711,0.162843654,3.249158899,11.05759674,187.190973,0.038716129,0.118531132,3.061544014,10.5443297,179.9182409,0.318045822,1.015778688,3.193812394,9.234955485,128.2125232,0.239488273,0.758537148,3.167324811,10.59750779,181.4931897,0.158873885,1.215240204,0.405080068,1.919577619,0.639859206,0.370478559,0.337224117,0.83446405,0.759561912,0.522469637,0.548393014,0.00855196,1.215217584,1.215262651,0.405072528,0.40508755,2.050760672,1.7776621,0.683586891,0.592554033,0.370308355,0.3706472,0.33706919,0.337377621,0.884085228,0.76696278,0.804729054,0.698119607,0.544329709,0.498820792,0.570899122,0.517748614,0.008950081,0.008154087,13469.06348,110.7308278,121.637883,0.476530715,0.149897026,0.031260467,0.208546281,0.139096703,0.012523784,0.090036526,3.372439807,0.131943215,0.039123964,17.04399941,5.758709703,0.337873146,2.123392388,1.075600142,0.506547988,0.15031926,0.030543741,0.203192467,0.150310108,0.03058086,0.203451789,0.139266672,0.012242901,0.087909772,0.139266195,0.012244669,0.087922766,3.374228221,0.128993958,0.038229174,3.374229486,0.128988783,0.038227626,17.04331439,5.758615198,0.337881181,17.04468345,5.758803949,0.337865116,2.123253669,1.075592795,0.506577622,2.123530909,1.075607452,0.506518388,0.32095811,0.095128717,0.296389822,0.110085174,0.061464055,0.558331818,0.044988783,0.02628781,0.584319201,13.4214103,4.443024384,0.331040054,1.591601181,0.724958701,0.455490175,0.327650002,0.102982881,0.314307586,0.313617534,0.084782839,0.270338325,0.110740803,0.061195214,0.552598614,0.109365991,0.061745602,0.564577723,0.045145145,0.02609461,0.578015861,0.044817265,0.026496526,0.591212482,13.743058,4.827561938,0.351272762,13.06858338,3.933580061,0.300995138,1.651928106,0.791647526,0.47922638,1.52542641,0.634084719,0.41567703,animal,2cm,Aphelodoris varia,3_AphelodorisVaria_34_NF_D_RAW_AOB,animals_on_background,NF,D,colour_defence_2024
0.137997787,0.27559091,1.997067603,4.494066018,36.28578355,0.624860424,1.264098004,2.023008589,4.626287335,38.24107052,0.072174038,0.180365084,2.499029951,6.496383726,71.61616419,0.068106431,0.176513287,2.591727177,7.638721318,95.29798817,0.33085961,0.845827475,2.556454306,6.786135619,76.1098,0.294876307,0.784080641,2.659015401,7.991684142,106.6289767,0.266788,1.385849075,0.277169815,4.464215705,0.446421571,0.604850758,0.375814906,1.661368059,0.853774292,0.361795693,0.614794599,0.009636907,1.385367192,1.386329963,0.277073438,0.277265993,4.262052399,4.668520142,0.42620524,0.466852014,0.604335831,0.60536238,0.310567182,0.311094724,1.628386865,1.691119718,1.011773646,1.050751759,0.351639339,0.372059003,0.661170414,0.680923242,0.010036154,0.009238073,10578.88592,98.63976483,107.2476798,0.479095581,0.146010152,0.032428694,0.222098896,0.219787064,0.047235523,0.214914937,5.480540915,0.970619273,0.177102824,15.01677129,8.335875411,0.555104373,3.259860458,1.631434005,0.500461301,0.146386919,0.032017553,0.218718677,0.146391328,0.031982074,0.218469729,0.220359031,0.046645371,0.211678962,0.220357512,0.046615808,0.211546261,5.492334578,0.957650617,0.174361304,5.492214341,0.957558796,0.174348402,15.01776304,8.336075139,0.555081014,15.01578135,8.335675899,0.555127682,3.260055458,1.631524413,0.500459098,3.259665816,1.631343729,0.50046349,0.260112046,0.125543093,0.482650054,0.20545024,0.123939283,0.603256938,0.163099124,0.097643233,0.598674172,10.83712012,5.597024802,0.516467912,2.423385096,0.903850452,0.372970212,0.254456312,0.123491113,0.485313616,0.266250026,0.127401725,0.478504082,0.202965458,0.122679382,0.604434781,0.208146892,0.125227207,0.601629001,0.163311423,0.096478907,0.590766434,0.162868723,0.098890725,0.607180577,10.58350498,5.480128049,0.517798977,11.11236023,5.706326127,0.513511622,2.387653857,0.859830869,0.360115377,2.462163023,0.947539505,0.384840279,animal,2cm,Aphelodoris varia,3_AphelodorisVaria_33_NF_D_RAW_AOB,animals_on_background,NF,D,colour_defence_2024
0.173499364,0.412040966,2.37488459,4.972687485,36.92936027,0.91383732,2.178685444,2.384106446,4.820340018,34.9457858,0.09797556,0.297317694,3.034610807,7.031284067,70.14809636,0.078089515,0.234422782,3.001975139,8.019562815,94.74678777,0.518678165,1.594372846,3.073915494,6.828136578,66.4768003,0.396739336,1.251004016,3.153213969,7.954210537,90.15904455,0.167336427,3.530702818,0.882675705,3.359640875,0.559940146,1.318043561,0.950767455,1.354947703,0.756210712,0.721307925,0.853489083,0.034518129,3.528075912,3.533283649,0.882018978,0.883320912,3.40027816,3.303100331,0.566713027,0.550516722,1.317639339,1.318440574,0.735388517,0.735835695,1.369454722,1.333969341,0.987852768,0.962255477,0.724366002,0.716918817,0.861620643,0.849045586,0.039166628,0.029873272,796.6683637,24.53193995,32.47473968,0.430334482,0.134465195,0.069108666,0.513952074,0.156506688,0.031782495,0.203074355,4.057439747,0.424555851,0.104636391,17.35444631,9.276941429,0.534557039,2.42450362,1.689971596,0.697038182,0.135156077,0.069196713,0.511976335,0.134976498,0.069166367,0.512432665,0.156739309,0.031674699,0.202085229,0.156685562,0.031700702,0.202320504,4.0595954,0.423006236,0.104199112,4.059140133,0.423416316,0.104311825,17.3583821,9.279829945,0.53460224,17.35055128,9.274079746,0.534512109,2.42450467,1.690355789,0.697196343,2.424502581,1.689591295,0.696881624,0.27081416,0.091832792,0.339098932,0.076683439,0.09868337,1.286892859,0.051638334,0.037952994,0.734977108,11.2435032,4.422478865,0.393336382,1.602532813,1.171795297,0.731214542,0.273029569,0.095641546,0.350297391,0.267911828,0.086486958,0.322818736,0.079039235,0.099563942,1.259677454,0.073597192,0.09741434,1.323614887,0.05258776,0.03843595,0.730891552,0.050394524,0.037266937,0.739503691,11.35294476,4.625639259,0.407439599,11.10012757,4.136016708,0.372609836,1.616276069,1.189640263,0.736037788,1.584528248,1.147698774,0.724315755,animal,2cm,Aphelodoris varia,3_AphelodorisVaria_32_NF_D_RAW_AOB,animals_on_background,NF,D,colour_defence_2024
0.124364309,0.275846508,2.218052026,4.378363391,33.73903013,0.622112546,1.576639867,2.534332217,5.25774716,41.08032605,0.073714297,0.205530915,2.788209647,6.194004905,62.25567269,0.052705499,0.152348992,2.89057109,7.759977641,95.20133716,0.371861989,1.212243408,3.259928267,7.392669331,75.26996076,0.251269461,0.855493837,3.40468688,9.511872516,127.39016,0.227827309,1.035474548,0.258868637,2.415882953,0.402647159,0.102843193,0.074185683,1.012870989,0.730631976,0.330757898,0.402408829,0.002510403,1.035364242,1.035584659,0.25884106,0.258896165,2.380302637,2.428992668,0.396717106,0.404832111,0.102584531,0.103100398,0.073999097,0.074371216,0.987426938,1.033741027,0.712277973,0.745686527,0.327779083,0.331864138,0.393138535,0.410028871,0.002664933,0.002356105,158465.819,374.2439353,423.4292237,0.469169523,0.134896225,0.01322755,0.09805723,0.225056378,0.014784895,0.065694184,5.572541625,0.308255421,0.055316845,20.83742003,4.552901349,0.218496404,4.016109058,1.129465757,0.281233836,0.135002335,0.012783817,0.094693306,0.134994609,0.012811516,0.094903907,0.225154889,0.014344886,0.06371119,0.225154715,0.014329771,0.063644108,5.573971358,0.299109996,0.053661918,5.57413256,0.298784009,0.053601884,20.83806477,4.551734102,0.218433629,20.83677645,4.554066062,0.21855905,4.016144538,1.12950556,0.281241262,4.016073641,1.129426023,0.281226423,0.434833461,0.082310123,0.189291143,0.225768907,0.154716915,0.685288852,0.176141375,0.134076817,0.76118866,18.74765607,3.88178292,0.207054306,3.723257914,1.292461594,0.3471319,0.434945633,0.075848537,0.174386248,0.434706777,0.089045428,0.204840211,0.21795032,0.156011632,0.715812813,0.234599032,0.152600643,0.65047431,0.169079991,0.135444104,0.801065243,0.184116332,0.131911024,0.716454769,18.73839025,3.603868602,0.192325411,18.75812067,4.173425798,0.22248635,3.681810987,1.26438458,0.343413767,3.770067077,1.321372408,0.350490424,animal,2cm,Aphelodoris varia,3_AphelodorisVaria_31_NF_D_RAW_AOB,animals_on_background,NF,D,colour_defence_2024
0.176793702,0.331022074,1.872363496,2.926765676,17.11738193,0.835352546,1.607924278,1.924845128,3.044000186,17.0771375,0.092862694,0.214460704,2.309438742,4.721780223,38.73046062,0.086486275,0.200600198,2.319445471,4.990385557,43.14242484,0.442831493,1.066853862,2.409164383,4.92792289,38.31191739,0.393862634,0.974598975,2.474464165,5.541125578,49.53845016,0.192937935,3.1081423,0.444020329,3.238161889,0.154198185,1.334498537,0.685796586,1.416802539,0.536859326,0.299109257,0.611327956,0.034891832,3.109038524,3.107247453,0.444148361,0.443892493,3.18026483,3.301404517,0.151441182,0.157209739,1.335018273,1.333978432,0.520485237,0.505475352,1.384481198,1.44889635,0.711482593,0.744585433,0.297794771,0.300551116,0.615983915,0.625030392,0.036310956,0.033474473,766.2999792,26.53989738,28.87350951,0.478943614,0.154440584,0.060664891,0.392804073,0.258898676,0.039480681,0.152494719,6.482246968,1.01297334,0.156268859,15.17273755,9.35902695,0.616831796,3.473143679,2.03907848,0.587098798,0.154619645,0.060711412,0.392650056,0.154568231,0.060685636,0.392613899,0.259088021,0.03951225,0.15250512,0.259148455,0.039392699,0.152008232,6.485541805,1.014173115,0.156374463,6.487395235,1.011510762,0.155919398,15.17404949,9.360146836,0.616852268,15.17143109,9.357911392,0.616811383,3.473031632,2.038990327,0.587092357,3.473255259,2.039166255,0.587105209,0.220364762,0.078460918,0.356050203,0.098282743,0.072874095,0.741473956,0.08893207,0.076399191,0.859073572,9.025263196,3.373144475,0.373744721,1.675313383,0.89488271,0.534158397,0.220107385,0.077979182,0.3542779,0.220643602,0.079224889,0.359062705,0.096758253,0.069228754,0.715481648,0.099934356,0.076791384,0.768418262,0.086983242,0.073353614,0.843307422,0.091043404,0.079725865,0.875690723,9.01242456,3.342945536,0.370926327,9.039172408,3.416002668,0.377910998,1.66583963,0.876925827,0.526416715,1.685577123,0.91651287,0.543738318,animal,2cm,Aphelodoris varia,3_AphelodorisVaria_30_NF_D_RAW_AOB,animals_on_background,NF,D,colour_defence_2024
0.219523925,0.425867059,1.939957385,4.363133158,32.61511733,0.816947181,1.506087867,1.843555989,4.030122561,30.40319619,0.127737129,0.309564842,2.423452316,6.293248461,63.41115351,0.094965679,0.222718492,2.345252456,6.888240177,80.96084548,0.468094019,1.074365944,2.295192634,5.652025514,54.61951905,0.35002417,0.814534272,2.327080079,6.753600186,80.39718469,0.170243833,4.605014748,0.460501475,5.708731087,0.126860691,1.722966894,0.748275015,2.20921254,0.631834052,0.293681083,0.690054533,0.03915717,4.600892173,4.609066707,0.460089217,0.460906671,5.632453235,5.791757223,0.125165627,0.128705716,1.72260252,1.723320987,0.492663748,0.497245328,2.180057434,2.240962194,0.946786914,0.973237515,0.292627422,0.294806193,0.719725331,0.735241422,0.044824482,0.033499818,614.7908478,21.3092374,28.850908,0.424824076,0.10921957,0.054923433,0.502871724,0.24707866,0.077671741,0.314360379,6.521478031,2.075683075,0.318284147,18.66300073,12.66958064,0.678860856,4.723624124,2.06707963,0.437604597,0.109614377,0.054942822,0.501237371,0.109615846,0.055008494,0.501829763,0.2475665,0.077221927,0.311923976,0.247476328,0.077227521,0.312060233,6.531604983,2.066482711,0.316382071,6.529300408,2.066687089,0.316525043,18.65904878,12.66856296,0.678950096,18.66689951,12.67058321,0.678772777,4.724017412,2.067621931,0.437682962,4.723236127,2.066544404,0.437527227,0.219426942,0.06932888,0.315954271,0.171276463,0.196357447,1.146435673,0.174391371,0.192887185,1.106059228,8.985481813,3.116375763,0.346823446,2.508318889,1.350390943,0.538364938,0.220196465,0.06976115,0.316813217,0.218399091,0.068766984,0.314868453,0.17243186,0.19553303,1.133972745,0.1697332,0.197538854,1.163819776,0.175483303,0.192805414,1.098710881,0.172932878,0.193080715,1.116506689,9.019264742,3.142004904,0.348365969,8.94035796,3.082720284,0.344809492,2.520950591,1.326810304,0.52631349,2.491446725,1.381748791,0.554596965,animal,2cm,Aphelodoris varia,3_AphelodorisVaria_29_NF_D_RAW_AOB,animals_on_background,NF,D,colour_defence_2024
0.281688975,0.534711259,1.898232821,3.279129469,17.85967347,1.218974231,2.256891382,1.851467673,4.046160233,30.87223739,0.16263879,0.39732875,2.443013436,5.024968468,37.44457603,0.122947991,0.289376943,2.353653287,5.395446021,44.738072,0.69530627,1.642169093,2.361792443,5.744150294,56.02471238,0.525464651,1.259507493,2.396940479,7.206286033,91.64067691,0.527516148,3.498336477,0.499762354,7.482848885,0.356326137,1.535753638,0.789221249,2.263352713,0.7988642,0.428044246,0.794042725,0.038547089,3.486189548,3.510359978,0.498027078,0.501479997,7.325043165,7.64500419,0.348811579,0.364047819,1.533493318,1.537969294,0.541255858,0.542835681,2.250189771,2.269457982,1.156368793,1.166270695,0.423419329,0.432763908,0.848812326,0.854553188,0.043490077,0.033612718,632.3345003,21.99375083,28.750644,0.433422271,0.086576077,0.060709506,0.701227271,0.157364147,0.082288475,0.522917555,4.196096369,2.148447876,0.51201109,20.41502397,11.78504031,0.577272911,3.56427943,1.28497265,0.360514004,0.087337174,0.060627348,0.694175748,0.087222985,0.060755977,0.696559252,0.15771073,0.082791772,0.524959664,0.157616741,0.082718919,0.524810487,4.197456158,2.157454715,0.513991006,4.196409906,2.156671888,0.513932608,20.41632149,11.77907805,0.57694419,20.41374195,11.79092821,0.577597593,3.564974048,1.284770736,0.360387122,3.563593111,1.285171691,0.360639291,0.291270478,0.117887112,0.404734159,0.304007352,0.286244641,0.941571443,0.306740451,0.283993947,0.925844461,12.20110962,5.34757516,0.438285969,2.827108158,1.064881849,0.376668238,0.294061102,0.118592195,0.403290998,0.287666102,0.116865401,0.40625364,0.307250739,0.289578942,0.94248412,0.299818187,0.281821,0.939972999,0.310421889,0.287177637,0.925120447,0.301985497,0.279752119,0.926376009,12.33331447,5.430314322,0.440296429,12.03035354,5.233526869,0.435026855,2.840695116,1.072226586,0.377452188,2.809559212,1.055044629,0.375519627,animal,2cm,Aphelodoris varia,3_AphelodorisVaria_28_NP_D_RAW_AOB,animals_on_background,NP,D,colour_defence_2024
0.12769473,0.245278594,1.920820023,5.413861097,52.36686703,0.585919539,1.042461517,1.779188859,3.824002486,26.23396326,0.074853865,0.176917527,2.363505577,7.520022785,100.6789709,0.055152612,0.137133761,2.486441836,9.360063088,146.5804222,0.347345543,0.771842874,2.222118259,5.36462577,47.32815948,0.239171147,0.551986647,2.307914874,6.685744557,72.82068365,0.496647863,1.642779099,0.273796516,2.606511138,0.173767409,0.796044478,0.444280883,1.415705061,0.614832896,0.223781963,0.529556889,0.013615229,1.639994583,1.645546936,0.27333243,0.274257823,2.342419387,2.997862093,0.156161292,0.199857473,0.794541771,0.79752382,0.345065107,0.346360194,1.327311829,1.51268274,0.740786837,0.844244312,0.214746861,0.237057648,0.542925972,0.595302253,0.015446313,0.011788343,5343.327177,63.74036851,83.82956204,0.43193331,0.141304938,0.038507778,0.272515447,0.239826585,0.069747327,0.290824,5.992329419,1.686640416,0.281466571,11.97330018,6.303234185,0.526440838,4.114437453,1.681815899,0.408759622,0.14109518,0.038069785,0.269816339,0.141262582,0.038225982,0.270602315,0.240573908,0.069201537,0.287651881,0.240512247,0.069113698,0.28736041,6.011396258,1.672769299,0.278266351,6.009460118,1.670979624,0.278058193,11.96612376,6.298032846,0.526321888,11.98043365,6.308390429,0.52655777,4.115280542,1.682275595,0.408787585,4.113599411,1.681358328,0.408731663,0.22982522,0.076875679,0.334496272,0.253174548,0.194450436,0.768048912,0.259142951,0.16961118,0.654508174,9.421796541,3.321684321,0.352553179,2.790380248,1.482459222,0.531274984,0.228722857,0.073522372,0.32144742,0.231266338,0.081025358,0.350355175,0.240787007,0.187580904,0.779032498,0.269368772,0.201810629,0.74919831,0.248336718,0.163628472,0.658897616,0.273269931,0.176019644,0.644123717,9.370507567,3.182446626,0.339623719,9.488846579,3.494093172,0.368231601,2.712617721,1.433895368,0.528602079,2.892039144,1.537065697,0.531481637,animal,2cm,Aphelodoris varia,3_AphelodorisVaria_27_NP_D_RAW_AOB,animals_on_background,NP,D,colour_defence_2024
