species,d05_unpal_shrimp,source_dataset
Aphelodoris varia,0.0,detectability_boldness_2023_toxicity
Chromodoris elisabethina,0.41999999999999993,detectability_boldness_2023_toxicity
Chromodoris kuiteri,0.725,detectability_boldness_2023_toxicity
Discodoris sp,0.0,detectability_boldness_2023_toxicity
Doriprismatica atromarginata,0.74,detectability_boldness_2023_toxicity
Glossodoris vespa,0.866,detectability_boldness_2023_toxicity
Goniobranchus collingwoodi,0.91,detectability_boldness_2023_toxicity
Goniobranchus splendidus,0.775,detectability_boldness_2023_toxicity
Hypselodoris bennetti,0.73,detectability_boldness_2023_toxicity
Phyllidia elegans,0.69,detectability_boldness_2023_toxicity
Phyllidia ocellata,0.63,detectability_boldness_2023_toxicity
Phyllidia varicosa,0.93,detectability_boldness_2023_toxicity
Phyllidiella pustulosa,0.875,detectability_boldness_2023_toxicity
