species,pal,tox,distance,database,individual,col_mean,col_sd,col_cov,col_skew,col_kurtosis,lum_mean,lum_sd,lum_cov,lum_skew,lum_kurtosis,col_mean_hrz,col_sd_hrz,col_cov_hrz,col_skew_hrz,col_kurtosis_hrz,col_mean_vrt,col_sd_vrt,col_cov_vrt,col_skew_vrt,col_kurtosis_vrt,lum_mean_hrz,lum_sd_hrz,lum_cov_hrz,lum_skew_hrz,lum_kurtosis_hrz,lum_mean_vrt,lum_sd_vrt,lum_cov_vrt,lum_skew_vrt,lum_kurtosis_vrt,caa_sc,caa_jc,caa_st,caa_jt,caa_hc,caa_qc,caa_ht,caa_qt,caa_scpl,caa_qcpl,caa_c,caa_sc_hrz,caa_sc_vrt,caa_jc_hrz,caa_jc_vrt,caa_st_hrz,caa_st_vrt,caa_jt_hrz,caa_jt_vrt,caa_hc_hrz,caa_hc_vrt,caa_qc_hrz,caa_qc_vrt,caa_ht_hrz,caa_ht_vrt,caa_qt_hrz,caa_qt_vrt,caa_scpl_hrz,caa_scpl_vrt,caa_qcpl_hrz,caa_qcpl_vrt,caa_c_hrz,caa_c_vrt,caa_pt,caa_pt_hrz,caa_pt_vrt,caa_asp,vca_ml,vca_sl,vca_cvl,vca_mdmax,vca_sdmax,vca_cvdmax,vca_mssat,vca_sssat,vca_cvssat,vca_msl,vca_ssl,vca_cvsl,vca_ms,vca_ss,vca_cvs,vca_ml_hrz,vca_sl_hrz,vca_cvl_hrz,vca_ml_vrt,vca_sl_vrt,vca_cvl_vrt,vca_mdmax_hrz,vca_sdmax_hrz,vca_cvdmax_hrz,vca_mdmax_vrt,vca_sdmax_vrt,vca_cvdmax_vrt,vca_mssat_hrz,vca_sssat_hrz,vca_cvssat_hrz,vca_mssat_vrt,vca_sssat_vrt,vca_cvssat_vrt,vca_msl_hrz,vca_ssl_hrz,vca_cvsl_hrz,vca_msl_vrt,vca_ssl_vrt,vca_cvsl_vrt,vca_ms_hrz,vca_ss_hrz,vca_cvs_hrz,vca_ms_vrt,vca_ss_vrt,vca_cvs_vrt,bsa_bml,bsa_bsl,bsa_bcvl,bsa_bmdmax,bsa_bsdmax,bsa_bcvdmax,bsa_bmssat,bsa_bsssat,bsa_bcvssat,bsa_bmsl,bsa_bssl,bsa_bcvsl,bsa_bms,bsa_bss,bsa_bcvs,bsa_bml_hrz,bsa_bsl_hrz,bsa_bcvl_hrz,bsa_bml_vrt,bsa_bsl_vrt,bsa_bcvl_vrt,bsa_bmdmax_hrz,bsa_bsdmax_hrz,bsa_bcvdmax_hrz,bsa_bmdmax_vrt,bsa_bsdmax_vrt,bsa_bcvdmax_vrt,bsa_bmssat_hrz,bsa_bsssat_hrz,bsa_bcvssat_hrz,bsa_bmssat_vrt,bsa_bsssat_vrt,bsa_bcvssat_vrt,bsa_bmsl_hrz,bsa_bssl_hrz,bsa_bcvsl_hrz,bsa_bmsl_vrt,bsa_bssl_vrt,bsa_bcvsl_vrt,bsa_bms_hrz,bsa_bss_hrz,bsa_bcvs_hrz,bsa_bms_vrt,bsa_bss_vrt,bsa_bcvs_vrt,source_dataset
Aphelodoris varia,no.no,no,2cm,animals_on_background,3_AphelodorisVaria_38_NF_D_RAW,0.252330228,0.452082057,1.791628617,1.776768251,8.020247301,0.705607023,1.367556087,1.938127091,2.6321266,17.42589262,0.128143092,0.284688981,2.221649076,3.405883941,21.50455999,0.127806717,0.285922706,2.237149288,3.495062909,22.61819991,0.3555296,0.870428217,2.448258082,4.663436068,43.98414597,0.351590706,0.858846005,2.442743766,4.672443453,44.31105841,1.996333711,0.499083428,1.045426021,0.17423767,0.707500713,0.510353885,0.112226899,0.080954595,0.336660549,0.29565424,0.021268613,1.996402496,1.99626491,0.499100624,0.499066228,1.043830616,1.047054216,0.173971769,0.174509036,0.707567603,0.707433732,0.510402136,0.510305569,0.109778123,0.114609997,0.079188177,0.082673637,0.336536197,0.336787632,0.294795157,0.296489603,0.021471007,0.021066167,2117.820174,45.57443308,46.46947929,0.495137939,0.040478021,0.013221305,0.326629221,0.102660356,0.013696527,0.133415928,2.749823996,0.083589167,0.030398006,24.5330086,14.03802435,0.572209654,3.821708077,1.730219806,0.452734686,0.040478133,0.013128813,0.324343345,0.040477341,0.013108399,0.323845351,0.102631053,0.013674622,0.133240593,0.102627973,0.013671716,0.133216273,2.749735098,0.082220403,0.029901209,2.749722995,0.082039676,0.029835615,24.53330623,14.03821814,0.572210611,24.53271101,14.03783059,0.572208697,3.82174635,1.730260668,0.452740844,3.82166981,1.730178948,0.452728528,0.25937157,0.036196573,0.139554898,0.114805486,0.02204873,0.192052927,0.020287564,0.020867895,1.028605298,10.63431823,1.691548718,0.159065084,1.953418487,0.326139389,0.166958279,0.259251277,0.036004762,0.138879786,0.259494206,0.036390532,0.140236397,0.11469074,0.021572888,0.188096162,0.114922466,0.022522688,0.195981596,0.020199894,0.020551069,1.017385012,0.020376941,0.021185516,1.039680917,10.62917496,1.688923901,0.158895108,10.63956165,1.694199029,0.159235792,1.95239908,0.324030539,0.16596532,1.954457745,0.328271013,0.167960148,habitat_background_2024
Aphelodoris varia,no.no,no,2cm,animals_on_background,3_AphelodorisVaria_25_NP_D_RAW,0.277114973,0.548537106,1.979456761,1.608301088,7.788505088,0.999430102,1.982343294,1.983473672,1.827684046,10.43059393,0.141466354,0.33691812,2.381613084,3.235697057,22.09005073,0.139925859,0.335812054,2.399928483,3.284822806,22.26985048,0.50201818,1.210603252,2.41147293,3.624581886,29.23988131,0.499309547,1.210461452,2.424270595,3.638579982,29.17702241,4.063994157,0.369454014,3.709978615,0.067454157,1.497217029,0.624387998,1.5682944,0.487218049,0.218454085,0.555803024,0.045071767,4.063345523,4.064642325,0.369395048,0.369512939,3.729804819,3.689524604,0.067814633,0.067082266,1.496937515,1.497495946,0.471023335,0.47119905,1.579384036,1.556249597,0.658654301,0.649006491,0.21860484,0.218297602,0.564838818,0.560102771,0.045304899,0.04483864,448.8940368,21.07266791,21.3021929,0.497291732,0.048816511,0.028407006,0.581913899,0.119937733,0.059599172,0.496917615,3.453355404,1.681647226,0.48696037,18.60667586,11.81143649,0.634795628,6.164987559,3.958401549,0.642077784,0.048792923,0.028335417,0.580728005,0.048798125,0.028363301,0.581237516,0.119657751,0.059747927,0.499323499,0.119663113,0.059775726,0.49953344,3.444840967,1.686034316,0.48943749,3.444971603,1.686843905,0.489653936,18.60602336,11.81121388,0.634805926,18.60732803,11.81165894,0.634785334,6.164875869,3.95839626,0.642088558,6.165099191,3.958406831,0.642067014,0.223910062,0.054213351,0.242121102,0.279065287,0.29183992,1.045776502,0.272209567,0.300655116,1.104498712,9.146367654,2.389997699,0.261305667,2.390492136,0.854752881,0.357563561,0.223997312,0.055062887,0.245819409,0.223821907,0.053437348,0.238749409,0.28070835,0.292452533,1.041837667,0.27740518,0.291720655,1.05160493,0.274004429,0.301232331,1.099370299,0.270396086,0.30058558,1.111649155,9.151307448,2.431114703,0.265657636,9.141376619,2.351961413,0.257287443,2.395872279,0.861713322,0.359665801,2.385056183,0.849131466,0.356021578,habitat_background_2024
Aphelodoris varia,no.no,no,2cm,animals_on_background,3_AphelodorisVaria_24_NP_D_RAW,0.172732659,0.310091592,1.795211135,2.768131916,16.31749138,0.651677214,1.206736648,1.851739822,3.13473666,23.60371849,0.089626793,0.206387218,2.302740192,4.667623886,38.95755128,0.086035914,0.192065657,2.232389343,4.430929831,35.44879795,0.336059203,0.804207526,2.393053121,4.973576278,47.18627045,0.317172314,0.75249603,2.372514866,5.155849735,52.91202973,1.540345112,0.220049302,2.09285537,0.09965978,0.673991267,0.346362995,1.014609607,0.440639354,0.159854541,0.393501174,0.012317672,1.540021952,1.540667996,0.220003136,0.220095428,2.128660284,2.055637576,0.101364775,0.097887504,0.673774384,0.67420767,0.292616497,0.292804671,1.031374952,0.996176703,0.530021878,0.511933556,0.160683956,0.158991466,0.411319187,0.402369114,0.012595335,0.012040123,6432.708399,78.39447723,82.05563231,0.488590986,0.063465631,0.018128551,0.285643595,0.117142492,0.027059772,0.230998775,3.369159687,0.705025931,0.209258687,24.55358499,11.40296326,0.464411338,3.229014916,0.77671207,0.240541493,0.063650273,0.017835525,0.280211282,0.063643786,0.017843863,0.280370855,0.117099351,0.026740038,0.228353425,0.117105807,0.026734197,0.228290958,3.370458669,0.695543943,0.206364774,3.370530217,0.695397798,0.206317034,24.55344231,11.40193713,0.464372245,24.55372754,11.4039883,0.464450389,3.228946273,0.776638609,0.240523856,3.229083492,0.776785444,0.240559108,0.273002114,0.079502806,0.291216814,0.286565181,0.228804195,0.798436831,0.257172559,0.262356852,1.020158812,11.27562366,3.441501653,0.30521608,3.130800728,0.694789411,0.221920675,0.27226968,0.080217765,0.29462614,0.273768009,0.078740146,0.287616314,0.28919048,0.229879796,0.794907896,0.283819946,0.227638042,0.802050896,0.260722013,0.263637781,1.011183438,0.253460949,0.260953311,1.029560224,11.24537312,3.474485482,0.308970227,11.30725619,3.406350164,0.30125347,3.127030561,0.694691011,0.222156771,3.134743134,0.694867981,0.221666641,habitat_background_2024
Aphelodoris varia,no.no,no,2cm,animals_on_background,3_AphelodorisVaria_33_NF_D_RAW,0.161706227,0.290711819,1.797777519,2.675747819,15.6906989,0.845338295,1.702099074,2.013512323,3.512496542,24.24100281,0.082390238,0.187031562,2.270069441,4.431894331,34.91696557,0.082742747,0.191418955,2.313422772,4.754279571,41.34888615,0.422534704,1.100538143,2.604610065,5.720669175,56.38729911,0.424530597,1.112674418,2.620952241,5.715131906,54.89322302,1.84662039,0.263802913,1.123906248,0.053519345,0.721472842,0.370763698,0.261429029,0.118981479,0.158661129,0.244872588,0.027878954,1.846752266,1.846488416,0.263821752,0.263784059,1.118076643,1.129591276,0.053241745,0.053790061,0.72149169,0.721453891,0.328365019,0.346945984,0.25518216,0.266925331,0.131137689,0.137172485,0.158531749,0.15878706,0.229751354,0.242059234,0.027504395,0.028253455,1216.093578,35.35782535,34.39390194,0.506909674,0.095041679,0.033273789,0.35009681,0.161323124,0.016881886,0.104646411,4.333767531,0.225517583,0.052037305,25.10297953,16.19075768,0.644973544,2.668175386,1.510186499,0.565999712,0.094796012,0.032810255,0.346114294,0.094797787,0.032853424,0.346563197,0.161217602,0.016776549,0.10406152,0.161218188,0.016793111,0.104163871,4.333199629,0.222488794,0.051345152,4.333243247,0.223307174,0.051533496,25.10299686,16.19078199,0.644974067,25.10296219,16.19073336,0.644973021,2.668192949,1.510176762,0.565992337,2.668157811,1.510196242,0.566007091,0.259112911,0.037020744,0.142874949,0.087991127,0.034282121,0.389608836,0.027334162,0.041113424,1.504104052,10.62854953,1.771361134,0.166660665,1.309575167,0.62084044,0.474077744,0.25884192,0.036896953,0.142546282,0.259376676,0.037432292,0.144316339,0.08818506,0.035727886,0.405146695,0.087802366,0.033071942,0.376663446,0.027490847,0.042534606,1.547227913,0.027181655,0.039994301,1.471371121,10.61724699,1.776759857,0.167346569,10.6395507,1.779973153,0.167297774,1.30313751,0.609426527,0.46766095,1.315841167,0.636674725,0.483853782,habitat_background_2024
Aphelodoris varia,no.no,no,2cm,animals_on_background,3_AphelodorisVaria_39_NP_D_RAW,0.168410182,0.309077687,1.835267223,3.835143129,33.86318373,0.621073003,1.151172612,1.853522219,3.745941449,32.40730117,0.084144452,0.193210462,2.29617588,6.121068277,82.90325639,0.086654816,0.201636956,2.32689843,5.855899215,65.61801118,0.306465032,0.724408195,2.363754814,6.144300719,82.56195256,0.315837948,0.751754737,2.380191303,5.824457685,66.12587426,1.175414187,0.146926773,3.041756168,0.108634149,0.369824255,0.177847873,1.369585177,0.533961878,0.127780461,0.355904876,0.005920206,1.175518315,1.175310082,0.146939789,0.14691376,3.041537568,3.039770859,0.108626342,0.108563245,0.370004021,0.369644384,0.144253928,0.144113716,1.366417982,1.371808174,0.657108149,0.659700283,0.127783066,0.127738503,0.400681039,0.401907,0.005862527,0.005977872,28197.52766,169.5749099,166.2836069,0.504899836,0.074188724,0.024117285,0.325080199,0.103086071,0.037566445,0.364418248,2.962690165,0.818450496,0.276252477,20.99172464,10.80238579,0.51460211,3.860364125,2.256092525,0.584424798,0.074018301,0.023568784,0.31841834,0.07401794,0.023543706,0.318081079,0.102838225,0.037103701,0.360796782,0.102831714,0.037084134,0.360629349,2.957911716,0.808390026,0.27329755,2.957795037,0.807898641,0.273142199,20.99215275,10.80291026,0.514616599,20.99129658,10.80186134,0.51458762,3.860448847,2.256154981,0.584428151,3.860279414,2.256030072,0.584421445,0.330819614,0.073860577,0.223265411,0.296676706,0.172067746,0.579984011,0.250907069,0.131828677,0.525408382,13.84140057,3.414388237,0.246679389,3.194830847,1.179144381,0.369078814,0.331760467,0.074295244,0.223942427,0.329897137,0.073419221,0.22255186,0.296345094,0.170995609,0.577015151,0.297001841,0.173111828,0.582864495,0.249842938,0.131550113,0.526531245,0.251950417,0.132092214,0.524278608,13.88570325,3.445567225,0.248137755,13.79796315,3.382929065,0.245175975,3.184905067,1.174203424,0.368677684,3.204562772,1.183881294,0.369436138,habitat_background_2024
Aphelodoris varia,no.no,no,2cm,animals_on_background,3_AphelodorisVaria_23_NP_D_RAW,0.183526374,0.352167289,1.918891996,2.928531747,18.06564137,0.720818309,1.343513671,1.863872844,2.690932109,17.2954701,0.091834824,0.223929583,2.438395078,4.935654881,43.53569652,0.094710187,0.230786091,2.436761016,4.839071063,41.49189297,0.354493795,0.849991734,2.397761954,4.65729183,43.20661582,0.368174935,0.88845716,2.413138633,4.647786732,42.32455959,1.401779743,0.233629957,2.110322164,0.140688144,0.561186737,0.313204282,0.896082882,0.460495508,0.187159051,0.386849895,0.015819372,1.402104702,1.401454817,0.233684117,0.233575803,2.102328435,2.118078676,0.140155229,0.141205245,0.561459412,0.560913856,0.288533061,0.288252701,0.89079661,0.901026276,0.497163054,0.502872339,0.186919673,0.187390524,0.392848058,0.39556252,0.015664581,0.015974137,3870.91312,62.83828551,61.60118929,0.504970674,0.046511545,0.011522217,0.247728117,0.111288323,0.041171055,0.369949456,3.247882235,1.195583236,0.368111634,22.51081825,11.07522694,0.491995752,3.03233608,0.808536557,0.266638175,0.046694849,0.011321354,0.24245402,0.046700025,0.011312556,0.242238752,0.111917187,0.040666606,0.363363368,0.11193766,0.040644089,0.363095757,3.266119565,1.181086205,0.361617565,3.266717981,1.1804381,0.361352926,22.51159216,11.07661113,0.492040325,22.51004423,11.07384231,0.491951157,3.032336498,0.808729613,0.266701804,3.032335663,0.808343426,0.266574521,0.251560335,0.087664948,0.348484782,0.527817283,0.212827099,0.403221163,0.523268459,0.214929008,0.41074329,10.36330294,3.811607274,0.3677985,2.185611176,0.616352586,0.282004683,0.250852499,0.087408413,0.348445455,0.252254341,0.087909289,0.348494654,0.527341199,0.212109462,0.402224332,0.528284064,0.213527171,0.404190066,0.522785183,0.214217973,0.4097629,0.523742293,0.215622648,0.411696078,10.33234581,3.798912025,0.367671785,10.39365522,3.823729683,0.367890756,2.180209012,0.612451531,0.280914136,2.190907792,0.620100292,0.283033496,habitat_background_2024
Aphelodoris varia,no.no,no,2cm,animals_on_background,3_AphelodorisVaria_34_NF_D_RAW,0.184577783,0.389156506,2.108360491,2.443490199,12.80906839,0.444531302,0.886379395,1.993963961,2.397711017,15.49988645,0.092540549,0.241116541,2.605523137,4.420721292,33.82781938,0.094292314,0.245830971,2.607115679,4.462002253,34.50198141,0.221309724,0.548691013,2.479290121,4.435649679,40.32515333,0.224140407,0.554304616,2.47302404,4.538432176,43.94973176,1.60566977,0.321133954,1.038284229,0.103828423,0.577893419,0.35906537,0.106714808,0.076978462,0.212481188,0.218021916,0.01343045,1.605940183,1.60539935,0.321188037,0.32107987,1.037366611,1.039165892,0.103736661,0.103916589,0.57806062,0.577725463,0.416982595,0.525868379,0.105520027,0.107429822,0.065563279,0.066749901,0.212462349,0.21249823,0.241272937,0.29630914,0.013181446,0.013679331,5397.933387,74.86421,72.10299003,0.509394001,0.036298737,0.007296148,0.201002806,0.096141947,0.047242881,0.491386771,2.827546987,1.427184884,0.504743119,15.3265324,6.187799548,0.403731215,2.224826945,0.758722055,0.341025201,0.03633542,0.007247855,0.199470794,0.036336943,0.007238697,0.199210407,0.096449537,0.047049654,0.487816275,0.096467953,0.047038352,0.487605994,2.836839224,1.421348953,0.501032607,2.83739823,1.421005279,0.500812774,15.32683732,6.188376474,0.403760824,15.32622748,6.187222542,0.403701599,2.224798809,0.758716431,0.341026985,2.224855082,0.758727679,0.341023415,0.208771769,0.028792146,0.137912068,0.667725854,0.055103081,0.08252351,0.692124474,0.056112379,0.08107267,8.483751952,1.284672944,0.151427452,2.973737971,0.081618126,0.027446307,0.208574221,0.027548239,0.13207883,0.208962034,0.031755883,0.151969632,0.667945562,0.054094151,0.080985868,0.667514246,0.059456965,0.089072203,0.692327309,0.055266324,0.079826873,0.691929117,0.060366881,0.087244314,8.474751206,1.227915864,0.144891081,8.49242085,1.418087085,0.166982667,2.973404717,0.085051889,0.028604209,2.974058939,0.082908308,0.027877157,habitat_background_2024
Aphelodoris varia,no.no,no,2cm,animals_on_background,3_AphelodorisVaria_22_NP_D_RAW,0.17270316,0.316322986,1.831599297,3.83760233,26.04927291,0.510631221,0.948849582,1.858189518,5.056372082,52.7732188,0.086602304,0.198146264,2.288002233,5.870613474,57.7224414,0.089246044,0.209017103,2.342032149,6.043560492,60.09503995,0.253165729,0.604829653,2.38906607,7.719364801,116.7035934,0.258450207,0.626059364,2.422359692,7.638902436,111.1048788,2.961764754,0.423109251,3.679116917,0.175196044,1.283037787,0.659350992,1.466229498,0.555588347,0.299152647,0.607469669,0.01769722,2.96226229,2.961267112,0.423180327,0.423038159,3.64175564,3.711530052,0.173416935,0.176739526,1.283109512,1.282965949,0.486199939,0.48614554,1.461843472,1.469503602,0.751238937,0.755175465,0.298298631,0.299888843,0.618719438,0.620660502,0.017412665,0.017981597,3081.749047,56.42946238,54.61241198,0.508181825,0.046378874,0.018619983,0.401475535,0.138926496,0.067780503,0.487887516,4.165956777,2.049416687,0.491943819,18.63927774,10.41245646,0.558629825,3.708591908,1.343148108,0.362171989,0.046396002,0.018495382,0.398641708,0.046406078,0.018502345,0.39870521,0.139158505,0.067580576,0.485637413,0.139188487,0.067565092,0.485421559,4.174539101,2.044967016,0.489866538,4.175448899,2.044499738,0.489647889,18.63991299,10.41322058,0.55865178,18.63864252,10.41169228,0.558607863,3.708601091,1.343144897,0.362170227,3.708582725,1.343151318,0.362173751,0.21119981,0.039421807,0.186656453,0.402602304,0.352587808,0.875771957,0.398941869,0.353028686,0.884912599,8.595734311,1.754895399,0.204158869,2.675157081,0.966957045,0.361458044,0.2116256,0.04042853,0.191037992,0.210787749,0.038417601,0.182257279,0.39388156,0.349880082,0.888287539,0.411041844,0.354968948,0.863583484,0.390519977,0.350106003,0.896512404,0.407092194,0.355629819,0.873585455,8.614878898,1.806691098,0.209717527,8.57720705,1.703050154,0.198555327,2.68748988,0.954743995,0.355254917,2.663221958,0.97847179,0.367401518,habitat_background_2024
Aphelodoris varia,no.no,no,2cm,animals_on_background,3_AphelodorisVaria_27_NP_D_RAW,0.198520634,0.347774886,1.751832436,2.380369931,12.4040049,0.562606961,0.969759233,1.723688651,2.469075427,14.41139067,0.102604261,0.227141361,2.213761472,4.274686555,32.36169152,0.09830246,0.207671981,2.112581745,4.000633412,29.99760972,0.288502842,0.640197973,2.219035236,4.559546754,39.37896366,0.27511444,0.575634822,2.092346816,4.031304479,31.91644314,2.670082207,0.667520552,1.876329553,0.312721592,1.030425706,0.743295028,0.681781598,0.491801465,0.490121072,0.617548247,0.025985004,2.670290763,2.669873737,0.667572691,0.667468434,1.871659297,1.880981086,0.311943216,0.313496848,1.030474204,1.030377216,0.743330012,0.74326005,0.68412218,0.678945316,0.493489838,0.48975552,0.489757953,0.490482641,0.618409925,0.616507785,0.026568986,0.025401051,1405.738208,36.6378684,38.36844962,0.488463764,0.04103722,0.013283872,0.323703027,0.108596476,0.051501201,0.474243759,2.802200552,1.172951468,0.41858227,14.55302123,8.504916887,0.584409021,3.269142198,1.454000112,0.444765025,0.041085141,0.013290806,0.323494237,0.041090306,0.013291115,0.323461094,0.108483749,0.051426831,0.474051017,0.108486169,0.051416793,0.473947906,2.800735338,1.171177275,0.418167779,2.800894993,1.17086512,0.418032494,14.55331967,8.505595106,0.584443639,14.55272317,8.504239446,0.58437444,3.269209571,1.454042776,0.44476891,3.269074909,1.453957497,0.444761144,0.202474541,0.019903236,0.098299944,0.399867152,0.208395915,0.521162875,0.338343688,0.26805459,0.79225533,8.215528463,0.849943289,0.103455705,2.55427302,0.359762852,0.140847454,0.202750971,0.020833044,0.102751884,0.202185416,0.018876023,0.093359964,0.398335989,0.207784082,0.521630201,0.401468639,0.209017931,0.520633272,0.336494999,0.26735216,0.794520457,0.340277282,0.268769176,0.789853423,8.227412074,0.891993092,0.108417214,8.203099064,0.803360732,0.097933808,2.551430855,0.358902635,0.1406672,2.557245719,0.360628429,0.141022204,habitat_background_2024
Aphelodoris varia,no.no,no,2cm,animals_on_background,3_AphelodorisVaria_28_NP_D_RAW,0.151936318,0.362019584,2.382706049,3.892548782,21.57515076,1.124977227,2.151598795,1.912570977,4.068304529,26.23051507,0.076961949,0.231905957,3.013254726,6.057117634,50.35145017,0.077187706,0.233572957,3.026038331,6.016542135,49.59242739,0.562608522,1.401436246,2.49096164,6.267910963,58.51119502,0.564603909,1.407687695,2.493230517,6.211271497,57.78169954,3.587115316,0.597852553,3.255878811,0.217058587,1.401310005,0.782086005,1.368066139,0.594143575,0.40745557,0.68811479,0.038924959,3.586803848,3.587426616,0.597800641,0.597904436,3.25695478,3.254776969,0.217130319,0.216985131,1.401222363,1.401397604,0.60854314,0.637803536,1.370537001,1.365476916,0.764911264,0.762087177,0.40746548,0.407444784,0.686727202,0.699945356,0.038774008,0.039075895,609.6280933,24.79047312,24.59122463,0.502017433,0.027842345,0.027025477,0.970660926,0.04202371,0.059848394,1.424157772,1.099439366,1.577957513,1.435238324,28.03082337,16.93690017,0.604224141,3.200771266,1.756651754,0.548821396,0.027731581,0.027036844,0.9749478,0.02774089,0.02705011,0.975098846,0.041608962,0.059827701,1.437856141,0.041628574,0.059841539,1.437511119,1.088309527,1.577021569,1.44905611,1.088813456,1.57735852,1.448694918,28.03178193,16.93749498,0.604224698,28.02986462,16.93630514,0.60422358,3.200735086,1.75665708,0.548829264,3.200807453,1.756646427,0.548813527,0.289922767,0.051769547,0.178563234,0.688375973,0.347957143,0.505475433,0.689456453,0.359573221,0.521531446,11.98671183,2.487175112,0.207494361,1.627323629,1.200275585,0.73757645,0.29012444,0.052381781,0.180549355,0.289722673,0.051472715,0.17766202,0.689371639,0.347465414,0.504032069,0.687388106,0.350612203,0.510064402,0.690484441,0.35905559,0.520005331,0.688436518,0.362326366,0.526303234,11.99691022,2.521172049,0.210151781,11.97659335,2.468215574,0.206086614,1.627041801,1.200298303,0.737718172,1.627603249,1.207731255,0.742030502,habitat_background_2024
