species,in_prieto_master,in_table_s1,match_status
Aphelodoris varia,False,True,only_in_table_s1
Ardeadoris egretta,False,True,only_in_table_s1
Ardeadoris rubroannulata,False,True,only_in_table_s1
Ceratosoma trilobatum,False,True,only_in_table_s1
Chromodoris elisabethina,False,True,only_in_table_s1
Chromodoris kuiteri,False,True,only_in_table_s1
Dendrodoris krusensternii (=denisoni),False,True,only_in_table_s1
Dendrodoris nigra,False,True,only_in_table_s1
Dendrodoris tuberculosa,False,True,only_in_table_s1
Doriprismatica atromarginata,False,True,only_in_table_s1
Glossodoris hikuerensis,False,True,only_in_table_s1
Goniobranchus collingwoodi,False,True,only_in_table_s1
Goniobranchus daphne,False,True,only_in_table_s1
Goniobranchus splendidus,False,True,only_in_table_s1
Goniobranchus tasmaniensis,False,True,only_in_table_s1
Goniobranchus tinctorius,False,True,only_in_table_s1
Halgerda aurantiomaculata,False,True,only_in_table_s1
Hypselodoris bennetti,False,True,only_in_table_s1
Hypselodoris tryoni,False,True,only_in_table_s1
Mexichromis festiva,False,True,only_in_table_s1
Notodoris (=Aegires) gardineri,False,True,only_in_table_s1
Phyllidia elegans,False,True,only_in_table_s1
Phyllidia ocellata,False,True,only_in_table_s1
Phyllidia varicosa,False,True,only_in_table_s1
Phyllidiella pustulosa,False,True,only_in_table_s1
Phyllidiopsis shireenae,False,True,only_in_table_s1
Sebadoris fragilis,False,True,only_in_table_s1
