species,n_images,animal_gray_sd_mean,animal_saturation_sd_mean,animal_edge_density_mean,animal_luminance_edge_cv_mean,animal_chromatic_edge_mean_mean,animal_chromatic_edge_cv_mean,gray_contrast_abs_mean,saturation_contrast_abs_mean,lab_colour_distance_mean,luminance_edge_cv_difference_mean,chromatic_edge_cv_difference_mean,gray_sd_difference_mean,saturation_sd_difference_mean,edge_density_difference_mean,chromatic_edge_mean_difference_mean,animal_gray_sd_z,animal_saturation_sd_z,animal_edge_density_z,animal_luminance_edge_cv_z,animal_chromatic_edge_mean_z,animal_chromatic_edge_cv_z,gray_contrast_abs_z,saturation_contrast_abs_z,lab_colour_distance_z,luminance_edge_cv_difference_z,chromatic_edge_cv_difference_z,gray_sd_difference_z,saturation_sd_difference_z,edge_density_difference_z,chromatic_edge_mean_difference_z,mean_normalised_boldness,mean_normalised_detectability
Aphelodoris varia,8,57.426862758011566,56.58684805301591,0.098674764976123,1.0897052518271737,22.44687688350677,0.8434340984747253,57.71713595835807,18.877936080533207,24.60871796821347,0.2142911235127921,0.1521954050264149,15.346430624294882,11.894556063855823,0.0412718374297776,5.770735323429109,0.5949561182955705,0.16755330568068838,0.82465787325231,-0.8155334233585961,0.47189655552651527,-1.02420147936518,-0.04911331663766666,-1.743819393411439,-0.626670256455324,-0.7810611172131976,-0.8408630656874586,0.31364150487903275,-0.5764174777712184,0.019951581428235457,-0.5619670960697624,0.036554825005218006,-0.5384798485487554
Ardeadoris egretta,10,32.09404869885163,49.25932453477297,0.0141345791158378,1.6215438132599211,13.405923175811768,1.4752913472799531,108.26751625170718,34.602181842545015,48.50777504729329,0.4383798276593907,0.5430355756839653,13.75178896405292,14.886149914611924,0.0611583369112068,7.123384237289429,-1.7345837395572516,-0.42396771607282296,-1.0116290410638502,1.2909056272642363,-0.9398661090168997,1.6488808591653343,1.7760204275811942,-0.7535596906520472,1.6443808400106616,0.8762749644048194,2.0970471679024034,-0.07532329316507559,0.02390200614415985,0.8406299625492315,-0.21726595069065296,-0.1950433532135423,0.6902340482316327
Ardeadoris rubroannulata,10,47.07352352924608,62.846009580960505,0.0559335830422794,1.4305711891823714,29.34044189453125,1.2095592446245047,91.81086617216046,44.35895443051727,49.8736833562068,0.2635194856783395,0.2227731424942572,14.820772240109624,16.685175944981157,0.0238290686674559,13.067737483978272,-0.35711009665221294,0.6728298309777174,-0.10371804985284067,0.5345253605284751,1.5483402607833994,0.5246968892385819,1.1818490840090372,-0.13911122240194046,1.7741787459433356,-0.41697341735954396,-0.31033659288005855,0.18542297632648813,0.38491036221784,-0.6998786352219034,1.2975582965147556,0.4699273658371867,0.36195773301644557
Ceratosoma brevicaudatum,10,40.94899102700264,52.83347121514944,0.0576000606040543,1.1246836100428454,25.2540904045105,0.9385998516887608,61.90558702957797,47.04440254575967,38.41059811405019,0.2241120463110145,0.1460129145624551,15.384141375841278,9.272326736735328,0.0390239867608187,11.008768701553343,-0.9203062161742102,-0.1354414641939119,-0.06752069697800711,-0.6769955567667583,0.9102484560545985,-0.6216012169951469,0.10211172542396267,0.030009197911018574,0.6848783512900596,-0.7084266228942386,-0.8873362876507505,0.32283990676771135,-1.1026170338930783,-0.07281298227618364,0.7728627230150434,-0.2519361158422393,-0.09538789136738393
Ceratosoma trilobatum,10,36.97239397446531,51.2991136849412,0.017898427174098,1.3701140014138544,22.756339168548585,1.019315050789496,63.05298210567884,56.1127306332369,43.28161316822815,0.3379171639659444,0.1855995447171166,8.61039539965412,14.28587383393088,0.0128902708947363,11.581398296356202,-1.2859837643089063,-0.259303875791003,-0.9298749632069626,0.29507416153423893,0.5202196986628946,-0.2801342581604984,0.14353870300928845,0.6011017649150667,1.1477553611691083,0.13326385178005942,-0.5897671671351947,-1.329411380352147,-0.09655466175215653,-1.1513022181359691,0.9187883029522655,-0.3233338335450394,-0.024731938172186527
Chromodoris elisabethina,10,60.667370328340645,69.33307618267882,0.06286806962789,1.4458481700581465,33.54863157272339,1.06946674072618,34.22986994109137,51.476964786835175,22.83192045271702,0.4109814678154802,0.3184740417719033,13.820849531516677,15.141267153893432,0.0449250706584142,16.480809211730957,0.8929447873445915,1.1965042012991687,0.04690507505608707,0.595032498269032,2.2054573377055067,-0.0679667205233176,-0.8971267542971737,0.3091569442477144,-0.7955136519254524,0.673639626227483,0.40903841629191007,-0.058478048025628025,0.0750960709349681,0.17071363659710456,2.167325552276509,0.8114795298585115,0.22820575470304835
Chromodoris kuiteri,10,60.92851011989698,76.23021338288441,0.0470330595313171,1.521769862149987,22.47296485900879,1.3073491613907535,21.94418418713336,60.80547746634171,15.030989374585303,0.5134436541015934,0.3959578092099522,15.301961206676555,20.005429536331505,0.0287593336856854,7.557739400863646,0.9169585250794204,1.7532818948381252,-0.29704521949916796,0.8957335542074867,0.4759702440994284,0.938398718074934,-1.340704419001071,0.8966350549951686,-1.5368112278015609,1.4314389940276107,0.9914768921281021,0.3027945299916294,1.051181594833141,-0.4964158831454744,-0.10657741883942037,0.7805496194667046,0.13255756857645834
Dendrodoris krusensternii (=denisoni),10,55.052366076982445,41.887347981244325,0.1228882865848147,1.0122397178611569,11.920918130874634,0.7062682161339678,21.543380938425862,28.17217883880587,16.139311080639686,0.1542131631303155,0.0335746406276616,7.243319558421002,12.762930060086408,0.0545209707565646,4.5664930820465095,0.37660356386246036,-1.019077249659395,1.3505967794315985,-1.1223491333435545,-1.1717525611415793,-1.6044839691638466,-1.3551755175321505,-1.1584994861497526,-1.431490954393152,-1.225391284729174,-1.7325246291778154,-1.6628683517544465,-0.4021619286327803,0.5667183615766315,-0.8688491522079109,-0.5317437616690528,-1.030026993666728
Dendrodoris nigra,10,25.78205979223201,39.30314721007973,0.0247020020960304,1.3487148651947378,7.267296981811524,0.8460466446819019,94.37178644272268,41.0303281346613,42.833509882564194,0.3652434026270159,0.1633554975027131,23.644021181839527,10.796975317406654,0.0370905196528302,4.105287837982178,-2.315017863691934,-1.227689214775549,-0.7820953543430662,0.21031916358878694,-1.8984246364100528,-1.0131490602654483,1.2743117316673411,-0.34873682455926136,1.1051735365025628,0.33536578940504164,-0.7569736593381465,2.337588775250945,-0.7966676655088655,-0.15260352850160014,-0.9863800016802402,-1.1710094943162106,0.22345312813753074
Dendrodoris tuberculosa,10,43.29097350823384,34.573641666501246,0.1211927019401509,0.9060053266930672,15.921831464767456,0.7206178279911392,21.19600699306155,26.26880371184169,13.670807634578043,0.128865925403006,0.0657853932381043,6.075731908572682,6.2563684020639725,0.0637530260063423,5.399437904357912,-0.7049435832002229,-1.6094828650533546,1.3137671952116492,-1.5431089020086226,-0.5470020921665695,-1.5437777034800977,-1.3677175381038584,-1.2783676003979245,-1.6660649561731504,-1.412856743172529,-1.4903993134339366,-1.9476661879988204,-1.7078257090354592,0.9477078948970855,-0.6565863607722995,-0.7724246584495363,-1.175530723798988
Doriprismatica atromarginata,9,66.60458435193249,49.95337828502662,0.059279757526545,1.7201649230079388,16.139445728725857,1.229242215963233,92.4669763726302,79.67900561761466,40.2834768157737,0.5520635956096496,0.2954805264250046,17.006042811964246,12.500255236714828,0.0369330344013412,7.57859876420763,1.4389155855457043,-0.3679395938184517,-0.031036208005103576,1.6815116717551521,-0.5130211977762925,0.6079660187054743,1.2055381019719957,2.085225888537912,0.8628520351480817,1.7170679496460337,0.2361982398837172,0.7184539059989218,-0.4548725645916472,-0.15910264823673104,-0.10126174057074822,0.4693993794010805,0.6788999075319485
Glossodoris hikuerensis,10,46.67389020083545,43.77986279902845,0.1996836229140468,0.788277645618958,24.500048828125,0.7785407477673568,64.17589134114384,40.62806645574096,28.21851061555252,0.2457622619096094,0.1453855262054888,11.06881919459249,11.62466047947155,0.1311486905180809,10.32449140548706,-0.393859340730856,-0.8663022642346112,3.018658775591984,-2.0093898427619807,0.7925033840774616,-1.2987338519729752,0.18408161337809156,-0.37406990168284043,-0.2836431854446274,-0.548303944586961,-0.8920523092185064,-0.7297529500312316,-0.6305770950226234,3.729000042251537,0.5984854952702502,-0.12618719000516296,0.11701864054589874
