species,image_id,status,attempts,point1_x,point1_y,point2_x,point2_y,animal_perimeter_original_px,mask_path,qc_path
Goniobranchus splendidus,Goniobranchus_splendidus_img08,accepted,1,1145.9956141069551,752.3164078260764,854.916927120131,789.9140715618746,843.6295049190521,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Goniobranchus_splendidus/Goniobranchus_splendidus_img08_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Goniobranchus_splendidus/Goniobranchus_splendidus_img08_manual_rescue_qc.png
Phyllidia varicosa,Phyllidia_varicosa_img02,accepted,1,1366.1403534609722,721.4840942562593,1411.9865979381443,481.3945508100147,893.0092288255692,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Phyllidia_varicosa/Phyllidia_varicosa_img02_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Phyllidia_varicosa/Phyllidia_varicosa_img02_manual_rescue_qc.png
Phyllidiopsis shireenae,Phyllidiopsis_shireenae_img02,accepted,1,549.7225476229521,233.99661197809735,629.1024668082457,627.3524615123642,985.8965295553207,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Phyllidiopsis_shireenae/Phyllidiopsis_shireenae_img02_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Phyllidiopsis_shireenae/Phyllidiopsis_shireenae_img02_manual_rescue_qc.png
Ceratosoma brevicaudatum,Ceratosoma_brevicaudatum_img01,accepted,1,123.46583210603828,1163.1336892488953,1700.3353460972016,335.488328424153,5210.170158028603,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Ceratosoma_brevicaudatum/Ceratosoma_brevicaudatum_img01_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Ceratosoma_brevicaudatum/Ceratosoma_brevicaudatum_img01_manual_rescue_qc.png
Ceratosoma trilobatum,Ceratosoma_trilobatum_img07,accepted,1,1566.9578330172747,296.58821633839875,238.13715594454794,1353.6799769024883,7798.151150465012,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Ceratosoma_trilobatum/Ceratosoma_trilobatum_img07_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Ceratosoma_trilobatum/Ceratosoma_trilobatum_img07_manual_rescue_qc.png
Ceratosoma trilobatum,Ceratosoma_trilobatum_img09,accepted,1,1084.141393122255,1201.0627169307636,244.86451231024546,553.41263838508,5923.893022656441,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Ceratosoma_trilobatum/Ceratosoma_trilobatum_img09_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Ceratosoma_trilobatum/Ceratosoma_trilobatum_img09_manual_rescue_qc.png
Chromodoris elisabethina,Chromodoris_elisabethina_img02,accepted,1,1097.2198438123096,1433.210391490382,465.94717802090224,903.0076275710896,3566.872481584549,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Chromodoris_elisabethina/Chromodoris_elisabethina_img02_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Chromodoris_elisabethina/Chromodoris_elisabethina_img02_manual_rescue_qc.png
Chromodoris elisabethina,Chromodoris_elisabethina_img04,accepted,1,315.37118900436786,747.865699938158,1013.155435648029,784.7087081609433,2560.240886092186,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Chromodoris_elisabethina/Chromodoris_elisabethina_img04_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Chromodoris_elisabethina/Chromodoris_elisabethina_img04_manual_rescue_qc.png
Chromodoris elisabethina,Chromodoris_elisabethina_img06,accepted,1,779.7910162002945,775.0732326951398,1168.2776141384388,766.6278718703976,1682.4276177883148,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Chromodoris_elisabethina/Chromodoris_elisabethina_img06_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Chromodoris_elisabethina/Chromodoris_elisabethina_img06_manual_rescue_qc.png
Chromodoris elisabethina,Chromodoris_elisabethina_img08,accepted,1,37.253608247422676,102.47731958762886,241.8226804123711,119.84639175257732,725.2518680095673,processed_data/automated_image_analysis/manual_rescue/masks_original_resolution/Chromodoris_elisabethina/Chromodoris_elisabethina_img08_manual_rescue_mask.png,processed_data/automated_image_analysis/manual_rescue/qc/Chromodoris_elisabethina/Chromodoris_elisabethina_img08_manual_rescue_qc.png
