species,PC1,PC2,PC3,PC4,PC5,PC6
Aphelodoris varia,1.2225143647420758,-1.1802908338063327,-0.056318916006584376,0.30704011607507414,-0.1111615074001938,-0.038041249328587
Ardeadoris egretta,-1.6531350637344056,2.3668799145962653,0.5416436758551646,-0.7747759213875524,0.43811841232197357,-0.2448203573976693
Ardeadoris rubroannulata,-1.0384839402880954,-0.9450883649071619,0.9838598374003742,-0.765980620472882,-0.15169502388809553,0.0028290733782894866
Ceratosoma brevicaudatum,0.6994139160481241,-0.19198156648791584,1.2782877731009656,-0.22355674075998133,-0.5356955727514779,0.21477088530972596
Ceratosoma trilobatum,-0.3018009379509781,0.7214620306765577,1.1817163743256485,-0.3393709827583623,-0.9456649454275852,-0.06582535520869451
Chromodoris elisabethina,-1.0696503224939613,-2.362535049376201,0.4255787027306491,-0.4236325617415852,-0.605045906495152,-0.0388844451919543
Chromodoris kuiteri,-1.969802360076201,-1.2149401005474685,-0.19489208633498964,0.4376963781689806,0.49348338395795655,-0.2885081432045303
Dendrodoris krusensternii (=denisoni),2.638916482153759,0.21120501157000504,-0.9163497669019487,0.4654859837647251,0.11253491762704691,-0.366025728464357
Dendrodoris nigra,0.967675233552863,3.043459285096966,0.7001207344088616,0.247216097043522,-0.709990930845854,-0.9478983007936895
Dendrodoris tuberculosa,3.0726608107850417,0.6007658729272826,0.12183931613046999,-0.2334015117419305,-0.0708649079677665,0.022444367597248802
Doriprismatica atromarginata,-1.1718270550684478,0.015092845591100955,-1.9686185376132195,-0.5024029054967274,-0.1038430229823236,-0.3937744840180437
Glossodoris hikuerensis,3.5396690521218273,-1.3125136080777926,0.5843311094699802,-0.9399560173068715,0.9427104205473161,-0.06864620946941358
Goniobranchus collingwoodi,0.07405577559004882,-0.6194663118401241,0.3128518459204068,0.24242611029364008,-0.41159137895397785,0.13386650248988155
Goniobranchus daphne,-0.6768383177091997,1.4574463248621288,-0.1771488084065384,0.17898248808172074,0.1202372195210594,0.056560944906237226
Goniobranchus splendidus,-1.8675439012016999,-0.01273066059596275,-0.5351805278039712,0.3073064607421694,0.5922051455479186,-0.23545569532803332
Goniobranchus tasmaniensis,-1.5757415828148513,1.3488573870299805,0.5581442119546483,0.1904783937216098,0.8170464068852824,0.17675733639550606
Goniobranchus tinctorius,1.4162155126264517,-1.597486947169347,1.058747069801873,-0.16568522005047648,-0.22109904685604906,-0.0454122968875985
Halgerda aurantiomaculata,-1.9043355110336808,0.12685116373295782,2.19039903399852,0.40904180283498026,0.688609896769276,-0.024005267198628197
Hypselodoris bennetti,-1.093705463413061,0.5016084463649764,-0.009308790801274024,-0.14778369164398347,0.28716452816251115,0.6874577226773134
Hypselodoris obscura,-0.04427351368715263,-0.5904232490912309,0.671269289174791,0.5101209939007465,-0.25527371870460924,0.3671241689778865
Hypselodoris tryoni,-1.58949428510067,0.5245812104503762,-1.5105693754510785,-0.46568003191903845,-0.05198017397159236,-0.06805278344024722
Mexichromis festiva,-0.4032231334728371,1.6686171873911813,-0.15745337060344095,0.3331465782318096,0.016364306409192796,0.41375062977219296
Notodoris (=Aegires) gardineri,-1.2722618515782649,-0.026472414469875916,-1.1412517782629061,-1.3338300622151538,-0.33537089657055674,0.48973555270686103
Phyllidia coelestis,0.40363196594864476,-1.092014240542745,-0.41716663800123077,0.3853857465597752,0.7316926899431189,-0.09866961941582122
Phyllidia elegans,1.3401378050620882,1.095208671862054,-0.6364860794670913,0.3099684377777251,-0.08483400382892209,1.0377335102859584
Phyllidia ocellata,-1.0992792574440806,-2.055418495652764,0.1304576859784586,0.6778522634279014,0.038470759523052345,-0.3196253946962227
Phyllidia varicosa,-0.9855822697039178,-2.3275923360448325,-1.1427341629925518,0.20314821183986337,-0.40031899775652313,-0.18013860603292392
Phyllidiella pustulosa,0.9734902612239948,0.3851066204179213,-0.6790584465631857,1.2605028079602665,-0.459454282360434,0.3861129352941456
Phyllidiopsis shireenae,-0.47201748263378607,1.1165093049954575,-0.5376023377331636,0.16911063026235734,-0.333013592476058,-0.3969289012350181
Sebadoris fragilis,3.840615069550369,0.3453029010445468,-0.6591070373076374,-0.3188532331923243,0.5082598220214681,-0.1684307924798123
