species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Aphelodoris varia,-1.5568422577086394,0.8346670020418622,-0.37787585822846537,0.07261999140592566,-0.39053333748943986,1.0835498398376393,0.9267073026026259,-0.10746047274670352,-0.18588379690692602
Ardeadoris egretta,1.984009498221145,1.3759770214385256,-0.42887273326777275,2.1500072886388018,1.213678081630332,-0.08528217759595924,0.1280540088218748,0.4311942801405849,0.18159954767512104
Ardeadoris rubroannulata,1.126642418259535,1.2947288975398359,1.9980620490414562,0.024515471555100556,-0.03890508102941368,-0.15103643312110915,0.3919880432816126,-0.10208612457548122,0.25125588252171444
Ceratosoma brevicaudatum,-0.49958275182415873,0.8687262721835879,0.9230362623033079,-0.006280065942256672,-1.2116153511289405,-0.5095717380441412,0.1078536094224139,0.25376261041718184,0.17950349933995688
Ceratosoma trilobatum,0.367537149898843,0.6873077009262366,1.1361376380576218,-0.9298745151453801,0.3484884269002419,-1.5373990229843435,0.016244176110878285,-0.7537507092889438,0.4413446118381148
Chromodoris elisabethina,-0.2800348288934939,-1.858394651175928,1.0759203596730067,0.5757552814341051,0.07830307067476083,-1.1573677185731743,0.6497312007557978,0.21760098416146684,-0.23147416990547015
Chromodoris kuiteri,0.6621463804909158,-2.7041058790300454,-0.9944404018449852,-0.5662638267638466,0.49142196932863985,-0.11403191438242988,0.2971859205576655,-0.13321712989912812,-0.17021253489548518
Dendrodoris krusensternii (=denisoni),-3.4383453003274664,0.1963985840285401,-0.5908315943199528,-0.8195108998115892,0.46156575839560193,0.3447407173370905,-0.33014454494051776,-0.624314633968388,0.14772684008106268
Dendrodoris nigra,1.2705020199712829,1.3814695766678369,-0.3803153148764289,0.5516152926136928,-2.1958411144512713,1.3141154335036314,0.3524327432149664,-0.28755492664838894,0.14332706359983155
Dendrodoris tuberculosa,-4.107231030048168,0.5617129269663192,-0.9634572373415374,-0.2877399855312571,0.10859577546232352,-0.48469870415150124,-0.23790120671121867,-0.13963367501583357,-0.13673745692066788
Doriprismatica atromarginata,2.462757829604607,-0.11931772435273295,-0.31620892722660243,0.3609785359751884,-1.1889221782334316,-1.0472834755772238,-0.9745781032838435,-0.6725808135360247,-0.2942021009390867
Glossodoris hikuerensis,-2.256036144572346,0.14068566028712914,0.5764267013140119,2.663165038785229,-0.09989559199040476,0.07821920036791385,-1.9977881867264293,0.05469663589102313,-0.0011534241718157501
Goniobranchus collingwoodi,-0.9782797933779551,1.593778428922345,1.7474402091363859,0.21007059988633764,-0.6527808817056602,0.3907383848549752,0.660612951348909,0.10380216203886693,-0.318768340999931
Goniobranchus daphne,1.8498667100260442,0.6444975243547597,-1.6495086540822193,0.09161605642998302,0.5057207139114486,-0.15677748061144972,0.6320346661056621,-0.5918464145818524,-0.19520349208941695
Goniobranchus splendidus,1.3783948873341816,-0.35614596400555953,-1.1771147643937974,0.5489736324468684,1.2754057429310228,0.6668548709162128,0.5767347867717509,-0.5281544280157188,0.021467468920090698
Goniobranchus tasmaniensis,3.184674339932934,0.5417677378614508,1.57337937996785,-1.7338079731217861,1.7879039655432707,1.6213648619095353,-1.285412420136318,-0.02154198988415986,-0.19355757761766323
Goniobranchus tinctorius,-1.643049480485961,0.34146764563747006,1.6923633314101687,0.6315976170508631,0.6809324280696755,-0.7062274061247846,0.23030985460582235,-0.23464294894736507,-0.3110133695183712
Halgerda aurantiomaculata,-0.018943934318919206,-0.6644171501282676,-0.20441576730761546,0.9944799172130858,0.513962964111888,0.8478989263272224,0.47338603923747724,0.3019423760168885,-0.022622722566008464
Hypselodoris bennetti,0.9587486628960553,0.712705019607947,-0.5734499985641843,0.013775612083265758,1.1067328139126955,-1.4291295758341018,0.504704139110569,0.8651218764203776,-0.21424595963605914
Hypselodoris obscura,-0.8941853723397988,-0.563676414850579,0.9746750458041941,-1.2092856343821687,0.05960109667545053,0.13903704190387578,0.6779460658229572,0.5274355107646873,0.03449703600210567
Hypselodoris tryoni,1.419557402779261,-0.17582783925793255,-1.4573833073448679,0.6937916387936836,-0.9740026569241824,0.1383254713019455,0.11223930211236421,-0.15197888686444966,-0.13732665520014845
Mexichromis festiva,2.6795002627158553,1.176513869794558,-0.9343515950812837,-0.7327819873707949,-0.24871724828510045,-0.27770421299965997,-0.6174596659257955,0.5425211889550636,-0.3823763628185756
Notodoris (=Aegires) gardineri,2.1288147810199396,-1.5891258246713742,-0.37319162428676195,0.02959679796840053,-0.8609957276245012,-0.33351138146146,-0.6643172748334853,0.530562374155239,0.732055967780223
Phyllidia coelestis,-1.3639363540877878,-0.4670647023614299,-0.1379797303060619,-0.1693539201785819,0.24179211610577855,0.5724638268489615,-0.17167305281613565,0.5375580130936718,0.24580075889983732
Phyllidia elegans,-0.9299392269627094,-0.10370789495215375,-0.6121971825546656,-1.965171196698584,-0.681567200498005,-0.7472607764369952,-0.8989705084165978,0.05117738390093505,-0.3054391169083277
Phyllidia ocellata,0.2462983226451731,-2.111132035430674,1.2906443554001963,0.5140335739902493,0.8622121149662348,0.6688601375665765,-0.10689158391683287,-0.518619336131297,0.13744664029136666
Phyllidia varicosa,0.22060777165188947,-2.50918249209068,0.9241957854078428,0.1226254317767182,-1.6191194900279169,0.4837404232227211,0.36725235878840856,0.0903272295748856,-0.26612648685496415
Phyllidiella pustulosa,-0.661968630105485,0.5086526049969639,-0.397915231955747,-1.7535141422961624,-0.4722729799225579,0.7420631804905613,0.010678243605266756,0.3123917281186676,0.2794265688151356
Phyllidiopsis shireenae,-0.12009595245360971,0.3918175266377859,-0.8118520606046385,-0.2677195004562086,0.28983532819608776,-0.7358179055675284,0.5631492597971162,-0.2590035583546976,0.5319451279946431
Sebadoris fragilis,-3.191587379941162,-0.030775427585797047,-1.5309191339284556,0.19208586965111407,0.6090164724953737,0.3811276070770013,-0.3941081243669634,0.3062916948088948,0.03894655418971192
