species,n_images,animal_gray_sd_mean,animal_gray_sd_sd,animal_saturation_sd_mean,animal_saturation_sd_sd,animal_edge_density_mean,animal_edge_density_sd,animal_luminance_edge_cv_mean,animal_luminance_edge_cv_sd,animal_chromatic_edge_mean_mean,animal_chromatic_edge_mean_sd,animal_chromatic_edge_cv_mean,animal_chromatic_edge_cv_sd,gray_contrast_abs_mean,gray_contrast_abs_sd,saturation_contrast_abs_mean,saturation_contrast_abs_sd,lab_colour_distance_mean,lab_colour_distance_sd,luminance_edge_cv_difference_mean,luminance_edge_cv_difference_sd,chromatic_edge_cv_difference_mean,chromatic_edge_cv_difference_sd,gray_sd_difference_mean,gray_sd_difference_sd,saturation_sd_difference_mean,saturation_sd_difference_sd,edge_density_difference_mean,edge_density_difference_sd,chromatic_edge_mean_difference_mean,chromatic_edge_mean_difference_sd
Aphelodoris varia,8,57.426862758011566,7.743963825459485,56.586848053015906,7.560589281227054,0.09867476497612303,0.07817554482336615,1.0897052518271735,0.14315897850381135,22.446876883506775,9.883603700188447,0.8434340984747253,0.20499960337291345,57.71713595835807,21.488675753008327,18.877936080533207,24.130307137353658,24.60871796821347,9.079894169433585,0.21429112351279214,0.1273131277712342,0.1521954050264149,0.08358158809398826,15.346430624294882,6.862044299312644,11.894556063855823,12.078364469466605,0.04127183742977763,0.04611753535023564,5.770735323429109,4.1709223713893655
Ardeadoris egretta,10,32.09404869885163,8.058183908493886,49.25932453477297,10.715938151897783,0.01413457911583788,0.008756242767633022,1.6215438132599211,0.44143630591877353,13.405923175811768,5.404104038703645,1.4752913472799531,0.35623375202532226,108.26751625170718,24.853942531569576,34.602181842545015,40.78381221303092,48.50777504729329,11.548271590949238,0.43837982765939076,0.45412179647302897,0.5430355756839653,0.2768268979269205,13.75178896405292,7.9244215129308415,14.886149914611925,6.749973273307343,0.061158336911206826,0.07501065197748144,7.123384237289429,6.966292197549524
Ardeadoris rubroannulata,10,47.07352352924608,3.00874111273596,62.846009580960505,7.5275033018557815,0.05593358304227949,0.013646085647372198,1.4305711891823714,0.1132033878678852,29.34044189453125,6.442822652283413,1.2095592446245047,0.09162608249137308,91.81086617216046,8.594303967503985,44.35895443051727,35.44481206248807,49.8736833562068,4.064046618299536,0.2635194856783395,0.21062844314720688,0.22277314249425723,0.16193345932181794,14.820772240109624,5.677267076742457,16.685175944981157,9.376263799625784,0.02382906866745592,0.012972484633973784,13.067737483978272,6.534015417052867
Ceratosoma brevicaudatum,10,40.94899102700264,12.20994820621528,52.83347121514944,13.408890831580978,0.057600060604054336,0.055025382569392906,1.1246836100428454,0.21686083867002195,25.2540904045105,11.057249180401552,0.9385998516887607,0.2107418865100898,61.90558702957797,49.535440243214985,47.04440254575967,27.745432502819106,38.41059811405019,15.179413942805374,0.22411204631101458,0.17800421939990513,0.14601291456245513,0.17073863164946754,15.384141375841278,11.933395069986311,9.272326736735327,9.064128165265485,0.039023986760818793,0.029151128743982454,11.008768701553345,6.677261448598128
Ceratosoma trilobatum,10,36.97239397446531,12.576149780043083,51.2991136849412,19.52553850680009,0.01789842717409801,0.01097001039906698,1.3701140014138544,0.39462618606904165,22.756339168548585,10.331164289134923,1.0193150507894961,0.34123014007092056,63.052982105678836,39.041491246601346,56.1127306332369,41.634554586508074,43.28161316822815,15.850866639347121,0.33791716396594446,0.21559184766417475,0.18559954471711665,0.20757338221677119,8.61039539965412,6.731953918369969,14.285873833930879,8.42370526551398,0.012890270894736341,0.01592193167993277,11.581398296356202,10.320143847685078
Chromodoris elisabethina,10,60.667370328340645,13.45357700036348,69.33307618267882,9.405879187056149,0.06286806962789009,0.05828155910122066,1.4458481700581465,0.22555898125295004,33.54863157272339,27.098731284801172,1.06946674072618,0.17261372154779134,34.22986994109137,28.04986590239292,51.476964786835175,46.63462358152938,22.83192045271702,8.229438431168354,0.4109814678154802,0.18277224332427935,0.31847404177190336,0.1001615025794699,13.820849531516677,7.330959590196747,15.141267153893432,8.846721215417379,0.04492507065841429,0.041907122487081734,16.480809211730957,25.03664301247651
Chromodoris kuiteri,10,60.928510119896984,10.151653602739234,76.23021338288441,12.767432838707803,0.04703305953131716,0.021459332067618297,1.5217698621499873,0.13274149783587336,22.47296485900879,5.219448574985375,1.3073491613907535,0.25168165262656483,21.944184187133356,16.977568185851855,60.80547746634171,42.589151500875765,15.030989374585303,8.804566860734052,0.5134436541015934,0.23845202719185643,0.39595780920995227,0.28749528647751244,15.301961206676557,7.891605324481497,20.005429536331505,13.990290047120423,0.028759333685685413,0.03061714956231172,7.557739400863646,6.619661857682749
Dendrodoris krusensternii (=denisoni),10,55.052366076982445,9.092780730542643,41.887347981244325,11.836584061672006,0.12288828658481474,0.04197362851671894,1.0122397178611569,0.09993313030515437,11.920918130874634,5.55291776045032,0.7062682161339678,0.1582159340454762,21.543380938425862,25.50682183569109,28.17217883880587,19.00192600478965,16.139311080639686,9.988355997400859,0.15421316313031558,0.18046681001426132,0.03357464062766163,0.042899493974810965,7.243319558421002,5.438445440705325,12.762930060086408,11.744651048023844,0.05452097075656467,0.03638979673740761,4.5664930820465095,5.34332129216134
Dendrodoris nigra,10,25.78205979223201,11.057904136827306,39.30314721007973,15.176063293581894,0.02470200209603049,0.022614272213668372,1.3487148651947378,0.31480174737935823,7.267296981811524,2.1144121484310934,0.8460466446819019,0.16468756758217235,94.37178644272268,21.310092857424454,41.0303281346613,32.68122714333536,42.833509882564194,9.351324279348262,0.3652434026270159,0.22505649902787594,0.1633554975027131,0.08279279347742508,23.644021181839527,6.1459314703964845,10.796975317406654,6.201037139524652,0.037090519652830264,0.035571657555303,4.105287837982178,3.4906936888425824
Dendrodoris tuberculosa,10,43.29097350823384,8.730713218705024,34.573641666501246,15.582686741940273,0.1211927019401509,0.06323629980089222,0.9060053266930671,0.1005139984582316,15.921831464767456,9.043948075252878,0.7206178279911392,0.1587417994089165,21.19600699306155,17.147179249567365,26.268803711841695,19.692336454310066,13.670807634578043,4.325982194943271,0.12886592540300607,0.0888777931964812,0.06578539323810433,0.031452209582493514,6.075731908572682,5.2665594545231995,6.2563684020639725,7.469790639413814,0.06375302600634238,0.04714568613645861,5.399437904357912,5.73501778106766
