species_prieto,species_clean,genus_prieto,specific_epithet_prieto,species_table_s1,genus_table_s1,specific_epithet_table_s1,in_prieto,in_table_s1,match_status
Acanthodoris nanaimoensis,Acanthodoris nanaimoensis,Acanthodoris,nanaimoensis,,,,True,False,only_in_prieto
Actinocyclus verrucosus,Actinocyclus verrucosus,Actinocyclus,verrucosus,,,,True,False,only_in_prieto
Adalaria slavi,Adalaria slavi,Adalaria,slavi,,,,True,False,only_in_prieto
Aegires flores,Aegires flores,Aegires,flores,,,,True,False,only_in_prieto
Akiodoris lutescens,Akiodoris lutescens,Akiodoris,lutescens,,,,True,False,only_in_prieto
Aldisa sanguinea,Aldisa sanguinea,Aldisa,sanguinea,,,,True,False,only_in_prieto
Ancula gibbosa,Ancula gibbosa,Ancula,gibbosa,,,,True,False,only_in_prieto
Aphelodoris sp.,Aphelodoris sp.,Aphelodoris,sp.,,,,True,False,only_in_prieto
,Aphelodoris varia,,,Aphelodoris varia,Aphelodoris,varia,False,True,only_in_table_s1
,Ardeadoris egretta,,,Ardeadoris egretta,Ardeadoris,egretta,False,True,only_in_table_s1
,Ardeadoris rubroannulata,,,Ardeadoris rubroannulata,Ardeadoris,rubroannulata,False,True,only_in_table_s1
Ardeadoris scottjohnsoni,Ardeadoris scottjohnsoni,Ardeadoris,scottjohnsoni,,,,True,False,only_in_prieto
Armodoris anudeorum,Armodoris anudeorum,Armodoris,anudeorum,,,,True,False,only_in_prieto
Asteronotus cespitosus,Asteronotus cespitosus,Asteronotus,cespitosus,,,,True,False,only_in_prieto
Atagema kimberlyae,Atagema kimberlyae,Atagema,kimberlyae,,,,True,False,only_in_prieto
Atalodoris oblonga,Atalodoris oblonga,Atalodoris,oblonga,,,,True,False,only_in_prieto
Bathydoris aioca,Bathydoris aioca,Bathydoris,aioca,,,,True,False,only_in_prieto
Cadlina laevis,Cadlina laevis,Cadlina,laevis,,,,True,False,only_in_prieto
Cadlinella ornatissima,Cadlinella ornatissima,Cadlinella,ornatissima,,,,True,False,only_in_prieto
Calycidoris guentheri,Calycidoris guentheri,Calycidoris,guentheri,,,,True,False,only_in_prieto
Carminodoris flammea,Carminodoris flammea,Carminodoris,flammea,,,,True,False,only_in_prieto
Ceratophyllidia sp.,Ceratophyllidia sp.,Ceratophyllidia,sp.,,,,True,False,only_in_prieto
