species,n_records,n_individuals,databases,sites,daytimes,source_dataset
Aphelodoris varia,31,31,animals_on_background; animals_only,NB; NF; NL; NP,D; N,colour_defence_2024_species_summary
Atagema intecta,1,1,animals_on_background,NP,N,colour_defence_2024_species_summary
Atagema spongiosa,1,1,animals_on_background,NL,D,colour_defence_2024_species_summary
Berthelina citrina,3,3,animals_on_background,NP,D; N,colour_defence_2024_species_summary
Caloria indica,8,8,animals_on_background,NL; NP,D,colour_defence_2024_species_summary
Ceratosoma amoenum,22,22,animals_on_background; animals_only,NB; NF; NL; NP,D; N,colour_defence_2024_species_summary
Ceratosoma brevicaudatum,24,24,animals_on_background; animals_only,NB; NF; NL; NP,D; N,colour_defence_2024_species_summary
Ceratosoma tenue,21,21,animals_on_background,NF; NL,D; N,colour_defence_2024_species_summary
Chromodoris cf striatella QLD,2,2,animals_on_background,NP,N,colour_defence_2024_species_summary
Coryphellina rubrolineata,2,2,animals_on_background; animals_only,NB; NF,D; N,colour_defence_2024_species_summary
Cratena lineata,1,1,animals_on_background,NF,D,colour_defence_2024_species_summary
Dendrodoris fumata,4,4,animals_on_background,NF,D; N,colour_defence_2024_species_summary
Dendrodoris gunnamatta,1,1,animals_on_background,NF,D,colour_defence_2024_species_summary
Dendrodoris krusensterni,4,4,animals_on_background,NF; NP,D; N,colour_defence_2024_species_summary
Dermatobranchus dendronephtyphagus,2,2,animals_on_background,NF; NP,D; N,colour_defence_2024_species_summary
Discodoris sp,18,18,animals_on_background; animals_only,NB; NF; NL; NP,D; N,colour_defence_2024_species_summary
Doriopsilla miniata,1,1,animals_on_background,NF,N,colour_defence_2024_species_summary
Doriopsilla peculiaris,2,2,animals_on_background,NF,N,colour_defence_2024_species_summary
Doriprismatica atromarginata,15,15,animals_on_background; animals_only,NB; NF; NL; NP,D; N,colour_defence_2024_species_summary
Doris cameroni,1,1,animals_on_background,NF,D,colour_defence_2024_species_summary
Glossodoris angasi,2,2,animals_on_background,NF,D,colour_defence_2024_species_summary
Goniobranchus albonares,1,1,animals_on_background,NL,D,colour_defence_2024_species_summary
Goniobranchus alius,40,40,animals_on_background; animals_only,NB; NF; NL; NP,D; N,colour_defence_2024_species_summary
Goniobranchus collingwoodi,20,20,animals_on_background; animals_only,NB; NF; NL; NP,D; N,colour_defence_2024_species_summary
Goniobranchus daphne,4,4,animals_on_background,NF; NL,D,colour_defence_2024_species_summary
Goniobranchus geometricus,8,8,animals_on_background,NF; NL; NP,D; N,colour_defence_2024_species_summary
Goniobranchus sp,2,2,animals_only,NB,D,colour_defence_2024_species_summary
Goniobranchus splendidus,14,14,animals_on_background,NF; NL,D; N,colour_defence_2024_species_summary
Hypselodoris bennetti,13,13,animals_on_background; animals_only,NB; NF; NL; NP,D; N,colour_defence_2024_species_summary
Hypselodoris jacksoni,1,1,animals_only,NB,D,colour_defence_2024_species_summary
Hypselodoris obscura,18,18,animals_on_background; animals_only,NB; NF; NL; NP,D,colour_defence_2024_species_summary
Hypselodoris tryoni,2,2,animals_on_background,NF,D,colour_defence_2024_species_summary
Kaloplocamus acutus,1,1,animals_on_background,NF,N,colour_defence_2024_species_summary
Kaloplocamus ramosus,2,2,animals_on_background,NF,N,colour_defence_2024_species_summary
Mariona sp,4,4,animals_on_background,NF; NL,N,colour_defence_2024_species_summary
Nembrotha purpureolineata,2,2,animals_on_background,NL,D,colour_defence_2024_species_summary
Onchidoris sp,1,1,animals_on_background,NF,N,colour_defence_2024_species_summary
Phyllodesmium poindimiei,2,2,animals_on_background,NF,D; N,colour_defence_2024_species_summary
Pleurobranchus peroni,6,6,animals_on_background,NF; NL; NP,N,colour_defence_2024_species_summary
Pleurobranchus peronii,1,1,animals_only,NB,D,colour_defence_2024_species_summary
Plocamopherus imperialis,12,12,animals_on_background,NF; NL; NP,N,colour_defence_2024_species_summary
Plocamopherus tilesii,4,4,animals_on_background,NL; NP,D,colour_defence_2024_species_summary
Polycera capensis,15,15,animals_on_background; animals_only,NB; NF; NP,D; N,colour_defence_2024_species_summary
Pteraeolidia ianthina,3,3,animals_on_background,NF,D,colour_defence_2024_species_summary
Rostanga sp,2,2,animals_on_background,NF; NP,N,colour_defence_2024_species_summary
Tenelia sibogae,1,1,animals_on_background,NF,D,colour_defence_2024_species_summary
Theracera pennigera,1,1,animals_on_background,NF,N,colour_defence_2024_species_summary
