species,species_original,family,authority,extract_id,body_part,natural_concentration_mg_ml,unpalatability_ps_ed50,unpalatability_tf_ed50,unpalatability_trf_ed50,toxicity_bs_ld50,toxicity_df_wm,chemical_defence_class,number_of_individuals,mean_size_mm_st_dev,collection_location,coordinates,source_dataset
Notodoris (=Aegires) gardineri,Notodoris (=Aegires) gardineri,Aegiridae,"Eliot, 1906",Nd_gardi,WB,3.5,nr,,,1.02,,WR,8.0,41 ± 6,"Lizard Island, GBR",14°40’S; 145°28’E,chemical_defence_modes_Table_S1
Ardeadoris egretta,Ardeadoris egretta (1),Chromodorididae,"Rudman, 1984",Ad_egret1,WB,16.96,> 1,> 1,,> 1,,WR,3.0,60 ± 6,"Lizard Island, GBR",14°40’S; 145°28’E,chemical_defence_modes_Table_S1
Ardeadoris egretta,Ardeadoris egretta (2),Chromodorididae,"Rudman, 1984",Ad_egret2.M,M,25.11,0.65,,,> 1,,WR,1.0,75*,"GBR, supplied by Cairns Marine Ltd. Stratford, QLD",,chemical_defence_modes_Table_S1
Ardeadoris rubroannulata,Ardeadoris rubroannulata,Chromodorididae,"Rudman, 1986",Ad_rubro,WB,27.89,0.083,,,0.0007,,I&II,2.0,47 ± 3,"Mooloolaba, SE QLD",26°40’S; 153°07’E,chemical_defence_modes_Table_S1
Ceratosoma brevicaudatum,Ceratosoma brevicaudatum,Chromodorididae,"Abraham, 1876",Cr_brevi,WB,6.12,>1,>1,nr,0.72,,WR,3.0,75 ± 14,"Nelson Bay, NSW",32°72’S; 152°15’E,chemical_defence_modes_Table_S1
Ceratosoma trilobatum,Ceratosoma trilobatum,Chromodorididae,"Gray, 1850",Cr_trilo,WB,7.5,>1,,,0.68,,WR,3.0,130,"North Stradbroke Island, SE QLD",27°41’S; 153°53’E,chemical_defence_modes_Table_S1
Chromodoris elisabethina,Chromodoris elisabethina,Chromodorididae,"Bergh, 1877",Cm_elisa1,WB,13.15,0.45,0.04,0.26,0.004,,I&II,23.0,38 ± 2,"Mooloolaba, SE QLD",26°40’S; 153°07’E,chemical_defence_modes_Table_S1
Chromodoris elisabethina,Chromodoris elisabethina (2),Chromodorididae,,Cm_elisa2,WB,10.74,> 0.13,,1.1,,,,12.0,36 ± 7,"Mooloolaba, SE QLD",26o40’S; 153o07’E,chemical_defence_modes_Table_S1
Chromodoris kuiteri,Chromodoris kuiteri,Chromodorididae,"Rudman, 1982",Cm_kuite1,WB,9.63,0.26,0.08,,0.002,,I&II,6.0,58 ± 7,"Mooloolaba, SE QLD",26o40’S; 153o07’E,chemical_defence_modes_Table_S1
Chromodoris kuiteri,Chromodoris kuiteri (2),Chromodorididae,,Cm_kuite2,WB,9.54,0.26,,0.23,,,,15.0,44 ± 11,"Mooloolaba, SE QLD",26o40’S; 153o07’E,chemical_defence_modes_Table_S1
