species,species_original,family,authority,body_part,chemical_defence_class,unpalatability_ps_ed50,unpalatability_tf_ed50,unpalatability_trf_ed50,toxicity_bs_ld50,toxicity_df_wm,number_of_individuals,collection_location,coordinates,source_dataset
Aphelodoris varia,Aphelodoris varia,Dorididae,"Abraham, 1877",WB,NR; WR/NR,nr,,> 1,nr,1,7.0,"Nelson Bay, NSW; Sydney, NSW",32o72’S; 152o15’E; 34o04’S; 151o09’E,chemical_defence_modes_Table_S1_species_summary
Ardeadoris egretta,Ardeadoris egretta (1); Ardeadoris egretta (2),Chromodorididae,"Rudman, 1984",M; WB,WR,0.65; > 1,> 1,,> 1,,4.0,"GBR, supplied by Cairns Marine Ltd. Stratford, QLD; Lizard Island, GBR",14°40’S; 145°28’E,chemical_defence_modes_Table_S1_species_summary
Ardeadoris rubroannulata,Ardeadoris rubroannulata,Chromodorididae,"Rudman, 1986",WB,I&II,0.083,,,0.0007,,2.0,"Mooloolaba, SE QLD",26°40’S; 153°07’E,chemical_defence_modes_Table_S1_species_summary
Ceratosoma brevicaudatum,Ceratosoma brevicaudatum,Chromodorididae,"Abraham, 1876",WB,WR,>1,>1,nr,0.72,,3.0,"Nelson Bay, NSW",32°72’S; 152°15’E,chemical_defence_modes_Table_S1_species_summary
Ceratosoma trilobatum,Ceratosoma trilobatum,Chromodorididae,"Gray, 1850",WB,WR,>1,,,0.68,,3.0,"North Stradbroke Island, SE QLD",27°41’S; 153°53’E,chemical_defence_modes_Table_S1_species_summary
Chromodoris elisabethina,Chromodoris elisabethina; Chromodoris elisabethina (2),Chromodorididae,"Bergh, 1877",WB,I&II,0.45; > 0.13,0.04,0.26; 1.1,0.004,,35.0,"Mooloolaba, SE QLD",26o40’S; 153o07’E; 26°40’S; 153°07’E,chemical_defence_modes_Table_S1_species_summary
Chromodoris kuiteri,Chromodoris kuiteri; Chromodoris kuiteri (2),Chromodorididae,"Rudman, 1982",WB,I&II,0.26,0.08,0.23,0.002,,21.0,"Mooloolaba, SE QLD",26o40’S; 153o07’E,chemical_defence_modes_Table_S1_species_summary
Dendrodoris krusensternii (=denisoni),Dendrodoris krusensternii (=denisoni),Dendrodorididae,"Gray, 1850",WB,NR,, nr,,nr,,1.0,"North Stradbroke Island, SE QLD",27 o41’S; 153 o53’E,chemical_defence_modes_Table_S1_species_summary
Dendrodoris nigra,Dendrodoris nigra,Dendrodorididae,"Stimpson, 1855",WB,WR/NR,,nr,,> 1,,5.0,"North Stradbroke Island, SE QLD",27 o41’S; 153 o53’E,chemical_defence_modes_Table_S1_species_summary
Dendrodoris tuberculosa,Dendrodoris tuberculosa,Dendrodorididae,"Quoy & Gaimard, 1832",WB,NR,nr,nr,nr,nr,,2.0,"Lizard Island, GBR",14o40’S; 145o28’E,chemical_defence_modes_Table_S1_species_summary
Doriprismatica atromarginata,Doriprismatica atromarginata; Doriprismatica atromarginata (2),Chromodorididae,"Cuvier, 1804",WB,I&II,0.15; 0.37,0.07,0.2; 0.54,0.07,,84.0,"Mackay, NE QLD (1)
Mooloolaba, SE QLD (24)
North Stradbroke Island, SE QLD (15)
Coffs Harbour, NE NSW (7)
Nelson Bay, NSW (1); Mooloolaba, SE QLD","21o39’S; 150o16’E
26o40’S; 153°07’E
27°41’S; 153°53’E
30°18’S; 153°09’E
32°72’S; 152°15’E; 26o40’S; 153o07’E",chemical_defence_modes_Table_S1_species_summary
Glossodoris hikuerensis,Glossodoris hikuerensis,Chromodorididae,"Pruvot-Fol, 1954",WB,WR,nr,>1,,nr,,1.0,"Lizard Island, GBR",14o40’S; 145o28’E,chemical_defence_modes_Table_S1_species_summary
Goniobranchus collingwoodi,Goniobranchus collingwoodi,Chromodorididae,"Rudman, 1987",WB,II / WR,0.09,1.12,,nr,,1.0,"GBR, supplied by Cairns Marine Ltd. Stratford, QLD",,chemical_defence_modes_Table_S1_species_summary
Goniobranchus daphne,Goniobranchus daphne,Chromodorididae,"Angas, 1864",WB,II,0.43,,,> 0.5,,8.0,"Cleveland Point, SE QLD",27o30’S; 153o17’E,chemical_defence_modes_Table_S1_species_summary
Goniobranchus splendidus,Goniobranchus splendidus (1); Goniobranchus splendidus (2); Goniobranchus splendidus (3),Chromodorididae,"Angas, 1864",M; WB,II,0.18; 0.25,,0.44,0.52; nr,3,81.0,"Coffs Harbour, NSW; Mooloolaba, SE QLD; North Stradbroke Island, SE QLD",26o40’S; 153o07’E; 27o41’S; 153o53’E; 30o18’S; 153o09’E,chemical_defence_modes_Table_S1_species_summary
Goniobranchus tasmaniensis,Goniobranchus tasmaniensis,Chromodorididae,"Bergh, 1905",WB,II,< 0.25,,,0.86,,5.0,"Sydney, NSW",34o04’S; 151o09’E,chemical_defence_modes_Table_S1_species_summary
Goniobranchus tinctorius,Goniobranchus tinctorius (1); Goniobranchus tinctorius (2),Chromodorididae,"Rüppell & Leuckart, 1830",M; WB,II,0.15,,,0.86; nr,,6.0,"Mackay, NE QLD; Mooloolaba, SE QLD",21o39’S; 150o16’E; 26o40’S; 153o07’E,chemical_defence_modes_Table_S1_species_summary
Halgerda aurantiomaculata,Halgerda aurantiomaculata,Discodorididae,"Allan, 1932",WB,NR,nr,,,nr,,3.0,"GBR, supplied by Cairns Marine Ltd.",,chemical_defence_modes_Table_S1_species_summary
Hypselodoris bennetti,Hypselodoris bennetti,Chromodorididae,"Angas, 1864",WB,I&II,0.27,,,0.12,,26.0,"Coffs Harbour, NE NSW",30o18’S; 153o09’E,chemical_defence_modes_Table_S1_species_summary
Hypselodoris obscura,Hypselodoris obscura; Hypselodoris obscura (2),Chromodorididae,"Stimpson, 1855",WB,I,>1,>1,> 1,0.35,,23.0,"Cleveland Point, SE QLD (1)
Gold Coast, SE QLD (1)
Mooloolaba, SE QLD (5)
North Stradbroke Island, SE QLD (3); Gold Coast, SE QLD (9)
North Stradbroke Island, SE QLD (3)
Mooloolaba, SE QLD (1)","27°30’S; 153°17’E
27°56’S; 153°25’E
26°40’S; 153°07’E
27°41’S; 153°53’E; 27°56’S; 153°25’E
27°41’S; 153°53’E
26°40’S; 153°07’E",chemical_defence_modes_Table_S1_species_summary
Hypselodoris tryoni,Hypselodoris tryoni; Hypselodoris tryoni (2),Chromodorididae,"Garrett, 1873",WB,,nr,nr,0.47; 0.53,NA (inconclusive),,9.0,"Lizard Island, GBR (1)
GBR, supplied by Cairns Marine Ltd. Stratford, QLD  (2); Mooloolaba, SE QLD (3)
GBR, supplied by Cairns Marine Ltd. (2)
Unknown (1)","14°40’S; 145°28’E
NA
; 26o40’S; 153o07’E
NA
NA",chemical_defence_modes_Table_S1_species_summary
Mexichromis festiva,Mexichromis festiva,Chromodorididae,"Angas, 1864",WB,WR,>1,,,,,32.0,"Nelson Bay, NSW (15)",32o72’S; 152o15’E,chemical_defence_modes_Table_S1_species_summary
Notodoris (=Aegires) gardineri,Notodoris (=Aegires) gardineri,Aegiridae,"Eliot, 1906",WB,WR,nr,,,1.02,,8.0,"Lizard Island, GBR",14°40’S; 145°28’E,chemical_defence_modes_Table_S1_species_summary
Phyllidia coelestis,Phyllidia coelestis (1); Phyllidia coelestis (2),Phyllidiidae,"Bergh, 1905",WB,WR,0.31; 0.54,,0.69,>1 (1.41),2.47,10.0,"Lizard Island, GBR; Lizard Island, GBR (4)
Mackay, NE QLD (1)
Mooloolaba, SE QLD (1)
GBR, supplied by Cairns Marine Ltd. Stratford, QLD (1)","14o40’S; 145o28’E; 14°40’S; 145°28’E
21°39’S; 150°16’E
26°40’S; 153°07’E
NA",chemical_defence_modes_Table_S1_species_summary
Phyllidia elegans,Phyllidia elegans,Phyllidiidae,"Bergh, 1869 ",WB,II,0.31,,,>1,,8.0,"Mooloolaba, SE QLD",26o40’S; 153o07’E,chemical_defence_modes_Table_S1_species_summary
Phyllidia ocellata,Phyllidia ocellata,Phyllidiidae,"Cuvier, 1804 ",WB,II,0.37,,,0.6,,7.0,"Mooloolaba, SE QLD",26o40’S; 153o07’E,chemical_defence_modes_Table_S1_species_summary
Phyllidia varicosa,Phyllidia varicosa (1); Phyllidia varicosa (2); Phyllidia varicosa (3); Phyllidia varicosa (4),Phyllidiidae,"Lamarck, 1801",WB,I&II; WR,0.02; 0.1; 0.12,>1,0.6; >1,0.22; 0.73,,15.0,"GBR, supplied by Cairns Marine Ltd. Stratford, QLD; Lizard Island, GBR ; Lizard Island, GBR (4)
Mackay, NE QLD (1)
Mooloolaba, SE QLD (2)
GBR, supplied by Cairns Marine Ltd. Stratford, QLD (2); Mooloolaba, SE QLD ","14o40’S; 145o28’E; 14°40’S; 145°28’E
21°39’S; 150°16’E
26°40’S; 153°07’E
NA; 26o40’S; 153o07’E",chemical_defence_modes_Table_S1_species_summary
