species,species_original,family,authority,body_part,chemical_defence_class,unpalatability_ps_ed50,unpalatability_tf_ed50,unpalatability_trf_ed50,toxicity_bs_ld50,toxicity_df_wm,number_of_individuals,collection_location,coordinates,source_dataset,chemical_defence_class_raw,chemical_defence_class_status,unpalatability_ps_ed50_raw,unpalatability_ps_ed50_status,unpalatability_ps_ed50_exact_values,unpalatability_ps_ed50_exact_n,unpalatability_ps_ed50_exact_mean,unpalatability_ps_ed50_gt_thresholds,unpalatability_ps_ed50_lt_thresholds,unpalatability_ps_ed50_has_nr,unpalatability_ps_ed50_has_inconclusive,unpalatability_ps_ed50_unparsed_components,unpalatability_tf_ed50_raw,unpalatability_tf_ed50_status,unpalatability_tf_ed50_exact_values,unpalatability_tf_ed50_exact_n,unpalatability_tf_ed50_exact_mean,unpalatability_tf_ed50_gt_thresholds,unpalatability_tf_ed50_lt_thresholds,unpalatability_tf_ed50_has_nr,unpalatability_tf_ed50_has_inconclusive,unpalatability_tf_ed50_unparsed_components,unpalatability_trf_ed50_raw,unpalatability_trf_ed50_status,unpalatability_trf_ed50_exact_values,unpalatability_trf_ed50_exact_n,unpalatability_trf_ed50_exact_mean,unpalatability_trf_ed50_gt_thresholds,unpalatability_trf_ed50_lt_thresholds,unpalatability_trf_ed50_has_nr,unpalatability_trf_ed50_has_inconclusive,unpalatability_trf_ed50_unparsed_components,toxicity_bs_ld50_raw,toxicity_bs_ld50_status,toxicity_bs_ld50_exact_values,toxicity_bs_ld50_exact_n,toxicity_bs_ld50_exact_mean,toxicity_bs_ld50_gt_thresholds,toxicity_bs_ld50_lt_thresholds,toxicity_bs_ld50_has_nr,toxicity_bs_ld50_has_inconclusive,toxicity_bs_ld50_unparsed_components,toxicity_df_wm_raw,toxicity_df_wm_status,toxicity_df_wm_exact_values,toxicity_df_wm_exact_n,toxicity_df_wm_exact_mean,toxicity_df_wm_gt_thresholds,toxicity_df_wm_lt_thresholds,toxicity_df_wm_has_nr,toxicity_df_wm_has_inconclusive,toxicity_df_wm_unparsed_components
Aphelodoris varia,Aphelodoris varia,Dorididae,"Abraham, 1877",WB,NR; WR/NR,nr,,> 1,nr,1,7.0,"Nelson Bay, NSW; Sydney, NSW",32o72’S; 152o15’E; 34o04’S; 151o09’E,chemical_defence_modes_Table_S1_species_summary,NR; WR/NR,mixed_or_uncertain,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,,> 1,greater_than,,0,,1,,False,False,,nr,nr,,0,,,,True,False,,1,measured,1,1,1.0,,,False,False,
Ardeadoris egretta,Ardeadoris egretta (1); Ardeadoris egretta (2),Chromodorididae,"Rudman, 1984",M; WB,WR,0.65; > 1,> 1,,> 1,,4.0,"GBR, supplied by Cairns Marine Ltd. Stratford, QLD; Lizard Island, GBR",14°40’S; 145°28’E,chemical_defence_modes_Table_S1_species_summary,WR,simple,0.65; > 1,measured_plus_greater_than,0.65,1,0.65,1,,False,False,,> 1,greater_than,,0,,1,,False,False,,,missing,,0,,,,False,False,,> 1,greater_than,,0,,1,,False,False,,,missing,,0,,,,False,False,
Ardeadoris rubroannulata,Ardeadoris rubroannulata,Chromodorididae,"Rudman, 1986",WB,I&II,0.083,,,0.0007,,2.0,"Mooloolaba, SE QLD",26°40’S; 153°07’E,chemical_defence_modes_Table_S1_species_summary,I&II,simple,0.083,measured,0.083,1,0.083,,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,0.0007,measured,0.0007,1,0.0007,,,False,False,,,missing,,0,,,,False,False,
Ceratosoma brevicaudatum,Ceratosoma brevicaudatum,Chromodorididae,"Abraham, 1876",WB,WR,>1,>1,nr,0.72,,3.0,"Nelson Bay, NSW",32°72’S; 152°15’E,chemical_defence_modes_Table_S1_species_summary,WR,simple,>1,greater_than,,0,,1,,False,False,,>1,greater_than,,0,,1,,False,False,,nr,nr,,0,,,,True,False,,0.72,measured,0.72,1,0.72,,,False,False,,,missing,,0,,,,False,False,
Ceratosoma trilobatum,Ceratosoma trilobatum,Chromodorididae,"Gray, 1850",WB,WR,>1,,,0.68,,3.0,"North Stradbroke Island, SE QLD",27°41’S; 153°53’E,chemical_defence_modes_Table_S1_species_summary,WR,simple,>1,greater_than,,0,,1,,False,False,,,missing,,0,,,,False,False,,,missing,,0,,,,False,False,,0.68,measured,0.68,1,0.68,,,False,False,,,missing,,0,,,,False,False,
Chromodoris elisabethina,Chromodoris elisabethina; Chromodoris elisabethina (2),Chromodorididae,"Bergh, 1877",WB,I&II,0.45; > 0.13,0.04,0.26; 1.1,0.004,,35.0,"Mooloolaba, SE QLD",26o40’S; 153o07’E; 26°40’S; 153°07’E,chemical_defence_modes_Table_S1_species_summary,I&II,simple,0.45; > 0.13,measured_plus_greater_than,0.45,1,0.45,0.13,,False,False,,0.04,measured,0.04,1,0.04,,,False,False,,0.26; 1.1,measured_multiple,0.26; 1.1,2,0.68,,,False,False,,0.004,measured,0.004,1,0.004,,,False,False,,,missing,,0,,,,False,False,
Chromodoris kuiteri,Chromodoris kuiteri; Chromodoris kuiteri (2),Chromodorididae,"Rudman, 1982",WB,I&II,0.26,0.08,0.23,0.002,,21.0,"Mooloolaba, SE QLD",26o40’S; 153o07’E,chemical_defence_modes_Table_S1_species_summary,I&II,simple,0.26,measured,0.26,1,0.26,,,False,False,,0.08,measured,0.08,1,0.08,,,False,False,,0.23,measured,0.23,1,0.23,,,False,False,,0.002,measured,0.002,1,0.002,,,False,False,,,missing,,0,,,,False,False,
Dendrodoris krusensternii (=denisoni),Dendrodoris krusensternii (=denisoni),Dendrodorididae,"Gray, 1850",WB,NR,, nr,,nr,,1.0,"North Stradbroke Island, SE QLD",27 o41’S; 153 o53’E,chemical_defence_modes_Table_S1_species_summary,NR,simple,,missing,,0,,,,False,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,
Dendrodoris nigra,Dendrodoris nigra,Dendrodorididae,"Stimpson, 1855",WB,WR/NR,,nr,,> 1,,5.0,"North Stradbroke Island, SE QLD",27 o41’S; 153 o53’E,chemical_defence_modes_Table_S1_species_summary,WR/NR,mixed_or_uncertain,,missing,,0,,,,False,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,,> 1,greater_than,,0,,1,,False,False,,,missing,,0,,,,False,False,
Dendrodoris tuberculosa,Dendrodoris tuberculosa,Dendrodorididae,"Quoy & Gaimard, 1832",WB,NR,nr,nr,nr,nr,,2.0,"Lizard Island, GBR",14o40’S; 145o28’E,chemical_defence_modes_Table_S1_species_summary,NR,simple,nr,nr,,0,,,,True,False,,nr,nr,,0,,,,True,False,,nr,nr,,0,,,,True,False,,nr,nr,,0,,,,True,False,,,missing,,0,,,,False,False,
