genus,in_prieto_master,in_table_s1,match_status
Acanthodoris,True,False,only_in_prieto
Actinocyclus,True,False,only_in_prieto
Adalaria,True,False,only_in_prieto
Aegires,True,False,only_in_prieto
Akiodoris,True,False,only_in_prieto
Aldisa,True,False,only_in_prieto
Ancula,True,False,only_in_prieto
Aphelodoris,True,True,matched_genus
Ardeadoris,True,True,matched_genus
Armodoris,True,False,only_in_prieto
Asteronotus,True,False,only_in_prieto
Atagema,True,False,only_in_prieto
Atalodoris,True,False,only_in_prieto
Bathydoris,True,False,only_in_prieto
Cadlina,True,False,only_in_prieto
Cadlinella,True,False,only_in_prieto
Calycidoris,True,False,only_in_prieto
Carminodoris,True,False,only_in_prieto
Ceratophyllidia,True,False,only_in_prieto
Ceratosoma,True,True,matched_genus
Chromodoris,True,True,matched_genus
Chromolaichma,True,False,only_in_prieto
Colga,True,False,only_in_prieto
Conualevia,True,False,only_in_prieto
Corambe,True,False,only_in_prieto
Crimora,True,False,only_in_prieto
Dendrodoris,True,True,matched_genus
Diaphorodoris,True,False,only_in_prieto
Diaulula,True,False,only_in_prieto
Discodoris,True,False,only_in_prieto
Diversidoris,True,False,only_in_prieto
Doriopsilla,True,False,only_in_prieto
Doriopsis,True,False,only_in_prieto
Doriprismatica,True,True,matched_genus
Doris,True,False,only_in_prieto
Felimare,True,False,only_in_prieto
Geitodoris,True,False,only_in_prieto
Glossodoris,True,True,matched_genus
Goniobranchus,True,True,matched_genus
Goniodoridella,True,False,only_in_prieto
Goniodoris,True,False,only_in_prieto
Gymnodoris,True,False,only_in_prieto
Halgerda,True,True,matched_genus
Hallaxa,True,False,only_in_prieto
Hexabranchus,True,False,only_in_prieto
Hoplodoris,True,False,only_in_prieto
Hypselodoris,True,True,matched_genus
Inuda,True,False,only_in_prieto
Jorunna,True,False,only_in_prieto
Kalinga,True,False,only_in_prieto
Kaloplocamus,True,False,only_in_prieto
Lecithophorus,True,False,only_in_prieto
Limacia,True,False,only_in_prieto
Lophodoris,True,False,only_in_prieto
Mandelia,True,False,only_in_prieto
Martadoris,True,False,only_in_prieto
Mexichromis,True,True,matched_genus
Miamira,True,False,only_in_prieto
Murphydoris,True,False,only_in_prieto
Nembrotha,True,False,only_in_prieto
Notodoris,True,True,matched_genus
Okenia,True,False,only_in_prieto
Onchidoris,True,False,only_in_prieto
Onchimira,True,False,only_in_prieto
Outgroup,True,False,only_in_prieto
Palio,True,False,only_in_prieto
Paradoris,True,False,only_in_prieto
Peltodoris,True,False,only_in_prieto
Phyllidia,True,True,matched_genus
Phyllidiella,True,True,matched_genus
Phyllidiopsis,True,True,matched_genus
Platydoris,True,False,only_in_prieto
Plocamopherus,True,False,only_in_prieto
Polycera,True,False,only_in_prieto
Reticulidia,True,False,only_in_prieto
Roboastra,True,False,only_in_prieto
Rostanga,True,False,only_in_prieto
Sclerodoris,True,False,only_in_prieto
Sebadoris,False,True,only_in_table_s1
Showajidaia,True,False,only_in_prieto
Tambja,True,False,only_in_prieto
Taringa,True,False,only_in_prieto
Thecacera,True,False,only_in_prieto
Thordisa,True,False,only_in_prieto
Thorunna,True,False,only_in_prieto
Trapania,True,False,only_in_prieto
Triopha,True,False,only_in_prieto
Tyrannodoris,True,False,only_in_prieto
Tyrinna,True,False,only_in_prieto
Vayssierea,True,False,only_in_prieto
Verconia,True,False,only_in_prieto
