 ,Label,Area,Mean,StdDev,Min,Max,Median
1,Aphelodoris_varia_img04.jpg:nudibranch,84225,138.580,41.404,36,231,140
2,Aphelodoris_varia_img04.jpg:background,114490,110.629,12.661,47,220,110
3,Aphelodoris_varia_img04.jpg (blue):nudibranch,84225,99.662,41.091,20,235,90
4,Aphelodoris_varia_img04.jpg (blue):background,114490,81.996,13.127,31,239,80
5,Aphelodoris_varia_img04.jpg (green):nudibranch,84225,147.138,45.589,38,240,151
6,Aphelodoris_varia_img04.jpg (green):background,114490,113.626,13.592,47,229,112
7,Aphelodoris_varia_img04.jpg (red):nudibranch,84225,168.934,44.379,47,241,179
8,Aphelodoris_varia_img04.jpg (red):background,114490,136.311,13.472,60,230,136
9,Aphelodoris_varia_img04.jpg:nudibranch:Saturation,84225,105.578,42.099,0,198,116
10,Aphelodoris_varia_img04.jpg:background:Saturation,114490,101.306,17.050,3,160,106
11,Aphelodoris_varia_img04.jpg:nudibranch:Brightness,84225,169.458,44.168,47,241,180
12,Aphelodoris_varia_img04.jpg:background:Brightness,114490,136.327,13.505,60,239,136
