 ,Label,Area,Mean,StdDev,Min,Max,Median
1,Doriprismatica_atromarginata_img02.jpg:nudibranch,84839,146.478,63.580,0,251,169
2,Doriprismatica_atromarginata_img02.jpg:background,17695,111.470,53.313,1,250,111
3,Doriprismatica_atromarginata_img02.jpg (blue):nudibranch,84839,156.326,70.249,0,255,182
4,Doriprismatica_atromarginata_img02.jpg (blue):background,17695,94.097,62.388,0,255,89
5,Doriprismatica_atromarginata_img02.jpg (green):nudibranch,84839,143.063,67.557,0,255,167
6,Doriprismatica_atromarginata_img02.jpg (green):background,17695,98.971,55.482,0,255,97
7,Doriprismatica_atromarginata_img02.jpg (red):nudibranch,84839,140.024,57.157,0,255,157
8,Doriprismatica_atromarginata_img02.jpg (red):background,17695,141.355,53.722,0,255,147
9,Doriprismatica_atromarginata_img02.jpg:nudibranch:Saturation,84839,59.462,50.801,0,255,43
10,Doriprismatica_atromarginata_img02.jpg:background:Saturation,17695,119.901,67.196,0,255,111
11,Doriprismatica_atromarginata_img02.jpg:nudibranch:Brightness,84839,162.616,63.828,0,255,183
12,Doriprismatica_atromarginata_img02.jpg:background:Brightness,17695,145.713,53.427,4,255,153
