species,image_slot,image_id,analysis_stage,source,observation_id,observation_url,license,photographer_or_observer,date_accessed,source_metadata_status,original_image_path,original_width,original_height,image_downloaded,usable,exclusion_reason,animal_clear,background_clear,segmentation_status,segmentation_qc,metrics_status,notes,source_photo_id
Aphelodoris varia,1,Aphelodoris_varia_img01,pilot,iNaturalist,372571198,https://www.inaturalist.org/observations/372571198,CC BY-NC,Erik Schlögl,2026/6/18,matched,raw_data/pilot_images/imagej_test/Aphelodoris_varia/Aphelodoris_varia_img01.jpg,1024,695,yes,yes,,yes,yes,complete,reviewed,complete,Research grade; whole animal clear; colour pattern visible; background visible,
Aphelodoris varia,2,Aphelodoris_varia_img02,pilot,iNaturalist,368879701,https://www.inaturalist.org/observations/368879701,CC BY-NC,kaz_dives,2026/6/18,matched,raw_data/pilot_images/imagej_test/Aphelodoris_varia/Aphelodoris_varia_img02.jpg,1024,768,yes,yes,,yes,yes,complete,reviewed,complete,Research grade; whole animal visible; background visible; slightly dark/greenish image,
Aphelodoris varia,3,Aphelodoris_varia_img03,candidate,iNaturalist,358547910,https://www.inaturalist.org/observations/358547910,CC BY-NC,Erik Schlögl,2026/6/18,matched,raw_data/formal_images/Aphelodoris_varia/Aphelodoris_varia_img03.jpg,1800,1228,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; whole animal clear; pale colour morph; background visible,654096454
Aphelodoris varia,4,Aphelodoris_varia_img04,candidate,iNaturalist,359383436,https://www.inaturalist.org/observations/359383436,All rights reserved,Daniel Smith,2026/6/18,matched,,,,no,no,all rights reserved licence,yes,yes,not_started,not_reviewed,not_started,"Research grade; image clear, but excluded because licence is not open",655696769
Aphelodoris varia,5,Aphelodoris_varia_img05,candidate,iNaturalist,359123886,https://www.inaturalist.org/observations/359123886,CC BY-NC,suenewson / Sue Newson,2026/6/18,matched,raw_data/formal_images/Aphelodoris_varia/Aphelodoris_varia_img05.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; whole animal visible; background visible; slightly blue/green underwater colour cast,655197358
Aphelodoris varia,6,Aphelodoris_varia_img06,candidate,iNaturalist,357057570,https://www.inaturalist.org/observations/357057570,CC BY-NC,Terry Farr,2026/6/18,matched,raw_data/formal_images/Aphelodoris_varia/Aphelodoris_varia_img06.jpg,1000,750,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; whole animal visible; background visible; close-up image; slightly green/blue underwater colour cast,651188841
Aphelodoris varia,7,Aphelodoris_varia_img07,candidate,iNaturalist,355116698,https://www.inaturalist.org/observations/355116698,CC BY-NC,jecomans,2026/6/18,matched,raw_data/formal_images/Aphelodoris_varia/Aphelodoris_varia_img07.jpg,1746,2048,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; whole animal visible; dorsal view; colour pattern visible; background visible,647745089
Aphelodoris varia,8,Aphelodoris_varia_img08,candidate,iNaturalist,346953406,https://www.inaturalist.org/observations/346953406,CC BY-NC,Sue Churchill,2026/6/18,matched,raw_data/formal_images/Aphelodoris_varia/Aphelodoris_varia_img08.jpg,1706,1279,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; whole animal visible; background visible; slightly green underwater colour cast; old observation date but recently uploaded,632497016
Aphelodoris varia,9,Aphelodoris_varia_img09,candidate,iNaturalist,342645017,https://www.inaturalist.org/observations/342645017,CC BY-NC,Jodie,2026/6/18,matched,raw_data/formal_images/Aphelodoris_varia/Aphelodoris_varia_img09.jpg,2048,1536,yes,yes,,yes,yes,not_started,not_reviewed,not_started,Research grade; whole animal visible; dorsal view; strong brown-white pattern; background visible; slightly green/blue underwater colour cast,624012873
Aphelodoris varia,10,Aphelodoris_varia_img10,candidate,iNaturalist,336405238,https://www.inaturalist.org/observations/336405238,All rights reserved,Brian R Mayes,2026/6/18,matched,,,,no,no,all rights reserved licence,yes,yes,not_started,not_reviewed,not_started,"Research grade; animal clear and colour pattern visible, but excluded because image has no open reuse licence",611310832
