species,family,prey_group,chemical_acquisition,colour_pattern,source_dataset,data_level
Actinocyclus verrucosus,Actinocyclidae,Porifera <sup>1</sup>,–,Mottled,Prieto_Banos_Layton_2025,species_or_representative_taxon
Hallaxa translucens,Actinocyclidae,Porifera & Chordata<sup>2-4</sup>,–,Uniform,Prieto_Banos_Layton_2025,species_or_representative_taxon
Aegires flores,Aegiridae,"Porifera<sup>2,3,5-8</sup>",Sequestration <sup>9</sup>,Stripes/spots & distinct rim,Prieto_Banos_Layton_2025,species_or_representative_taxon
Notodoris minor,Aegiridae,"Porifera <sup>10,11</sup>","Sequestration <sup>12,13</sup>",Stripes/spots,Prieto_Banos_Layton_2025,species_or_representative_taxon
Akiodoris lutescens,Akiodorididae,Bryozoa <sup>14</sup>,–,Uniform,Prieto_Banos_Layton_2025,species_or_representative_taxon
Armodoris anudeorum,Akiodorididae,–,–,Uniform,Prieto_Banos_Layton_2025,species_or_representative_taxon
Cadlinella ornatissima,Cadlinellidae,Porifera <sup>2</sup>,"Sequestration* <sup>15</sup><break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break>(presence of MDFs)",Stripes/spots,Prieto_Banos_Layton_2025,species_or_representative_taxon
Aldisa sanguinea,Cadlinidae,Porifera <sup>10</sup>,Sequestration <sup>10</sup>,Uniform,Prieto_Banos_Layton_2025,species_or_representative_taxon
Cadlina laevis,Cadlinidae,"Porifera <sup>8, 10, 16-18</sup>","Sequestration <sup>10, 19</sup> & synthesis <sup>10</sup>",Stripes/spots & distinct rim,Prieto_Banos_Layton_2025,species_or_representative_taxon
Inuda luarna,Cadlinidae,Porifera* (confamilial trait),"Sequestration* <sup>20</sup><break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break>(presence of MDFs)",Uniform,Prieto_Banos_Layton_2025,species_or_representative_taxon
Calycidoris guentheri,Calycidorididae,"Bryozoa*<break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break>(confamilial trait)","Synthesis*<break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break>(absence of mantle glands; confamilial trait)",–,Prieto_Banos_Layton_2025,species_or_representative_taxon
Diaphorodoris lirulatocauda,Calycidorididae,"Bryozoa <sup>2, 8, 21</sup>",Synthesis <sup>22</sup>,Stripes/spots & distinct rim,Prieto_Banos_Layton_2025,species_or_representative_taxon
Ardeadoris scottjohnsoni,Chromodorididae,Porifera <sup>23</sup>,Sequestration <sup>24</sup>,Stripes/spots & distinct rim,Prieto_Banos_Layton_2025,species_or_representative_taxon
Ceratosoma brevicaudatum,Chromodorididae,"Porifera <sup>25, 26</sup>","Sequestration <sup>25, 26</sup>",Stripes/spots & distinct rim,Prieto_Banos_Layton_2025,species_or_representative_taxon
Chromodoris magnifica,Chromodorididae,"Porifera <sup>27, 28</sup>",Sequestration <sup>28</sup>,Stripes/spots & distinct rim,Prieto_Banos_Layton_2025,species_or_representative_taxon
Chromolaichma edmundsi,Chromodorididae,Porifera <sup>29</sup>,Sequestration <sup>30</sup>,Distinct rim,Prieto_Banos_Layton_2025,species_or_representative_taxon
Diversidoris aurantinodulosa,Chromodorididae,Porifera <sup>5</sup>,"Sequestration*<break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break>(confamilial trait)",Stripes/spots & distinct rim,Prieto_Banos_Layton_2025,species_or_representative_taxon
Doriprismatica stellata,Chromodorididae,Porifera <sup>31</sup>,Sequestration <sup>31</sup>,Mottled & distinct rim,Prieto_Banos_Layton_2025,species_or_representative_taxon
Felimare tema,Chromodorididae,Porifera <sup>32</sup>,"Sequestration <sup>10, 33</sup>",Stripes/spots & distinct rim,Prieto_Banos_Layton_2025,species_or_representative_taxon
Glossodoris buko,Chromodorididae,Porifera <sup>25</sup>,"Sequestration <sup>25, 29</sup>","Stripes/spots, mottled & distinct rim",Prieto_Banos_Layton_2025,species_or_representative_taxon
Goniobranchus reticulatus,Chromodorididae,"Porifera <sup>24, 25</sup>","Sequestration <sup>24, 25</sup>","Stripes/spots, mottled & distinct rim",Prieto_Banos_Layton_2025,species_or_representative_taxon
Hypselodoris obscura,Chromodorididae,Porifera <sup>10</sup>,Sequestration <sup>10</sup>,"Stripes/spots, mottled & distinct rim",Prieto_Banos_Layton_2025,species_or_representative_taxon
Mexichromis antonii,Chromodorididae,Porifera <sup>2</sup>,"Sequestration*<break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break>(confamilial trait)",Stripes/spots & distinct rim,Prieto_Banos_Layton_2025,species_or_representative_taxon
Miamira striata,Chromodorididae,Porifera <sup>10</sup>,Sequestration <sup>10</sup>,"Stripes/spots, mottled & distinct rim",Prieto_Banos_Layton_2025,species_or_representative_taxon
Thorunna florens,Chromodorididae,Porifera <sup>3</sup>,"Sequestration*<break xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""></break>(confamilial trait)",Stripes/spots & distinct rim,Prieto_Banos_Layton_2025,species_or_representative_taxon
Tyrinna evelinae,Chromodorididae,"Porifera <sup>18, 34</sup>",Sequestration <sup>10</sup>,Stripes/spots,Prieto_Banos_Layton_2025,species_or_representative_taxon
