species,in_prieto_master,in_table_s1,match_status
Acanthodoris nanaimoensis,True,False,only_in_prieto
Actinocyclus verrucosus,True,False,only_in_prieto
Adalaria slavi,True,False,only_in_prieto
Aegires flores,True,False,only_in_prieto
Akiodoris lutescens,True,False,only_in_prieto
Aldisa sanguinea,True,False,only_in_prieto
Ancula gibbosa,True,False,only_in_prieto
Aphelodoris sp.,True,False,only_in_prieto
Ardeadoris scottjohnsoni,True,False,only_in_prieto
Armodoris anudeorum,True,False,only_in_prieto
Asteronotus cespitosus,True,False,only_in_prieto
Atagema kimberlyae,True,False,only_in_prieto
Atalodoris oblonga,True,False,only_in_prieto
Bathydoris aioca,True,False,only_in_prieto
Cadlina laevis,True,False,only_in_prieto
Cadlinella ornatissima,True,False,only_in_prieto
Calycidoris guentheri,True,False,only_in_prieto
Carminodoris flammea,True,False,only_in_prieto
Ceratophyllidia sp.,True,False,only_in_prieto
Chromodoris magnifica,True,False,only_in_prieto
Chromolaichma edmundsi,True,False,only_in_prieto
Colga pacifica,True,False,only_in_prieto
Conualevia alba,True,False,only_in_prieto
Corambe obscura,True,False,only_in_prieto
Crimora lutea,True,False,only_in_prieto
Dendrodoris densoni,True,False,only_in_prieto
Diaphorodoris lirulatocauda,True,False,only_in_prieto
Diaulula sandiegensis,True,False,only_in_prieto
Discodoris coerulescens,True,False,only_in_prieto
Diversidoris aurantinodulosa,True,False,only_in_prieto
Doriopsilla janaina,True,False,only_in_prieto
Doriopsis granulosa,True,False,only_in_prieto
Doriprismatica stellata,True,False,only_in_prieto
Doris pseudoargus,True,False,only_in_prieto
Felimare tema,True,False,only_in_prieto
Geitodoris heathi,True,False,only_in_prieto
Glossodoris buko,True,False,only_in_prieto
Goniobranchus reticulatus,True,False,only_in_prieto
Goniodoridella savignyi,True,False,only_in_prieto
Goniodoris nodosa,True,False,only_in_prieto
Gymnodoris ceylonica,True,False,only_in_prieto
Halgerda dalanghita,True,False,only_in_prieto
Hallaxa translucens,True,False,only_in_prieto
Hexabranchus sanguineus,True,False,only_in_prieto
Hoplodoris nodulosa,True,False,only_in_prieto
Inuda luarna,True,False,only_in_prieto
Jorunna tomentosa,True,False,only_in_prieto
Kalinga ornata,True,False,only_in_prieto
Kaloplocamus sp.,True,False,only_in_prieto
Lecithophorus capensis,True,False,only_in_prieto
Limacia sp.,True,False,only_in_prieto
Lophodoris danielsseni,True,False,only_in_prieto
Mandelia mirocornata,True,False,only_in_prieto
Martadoris mediterranea,True,False,only_in_prieto
Mexichromis antonii,True,False,only_in_prieto
Miamira striata,True,False,only_in_prieto
Murphydoris puncticulata,True,False,only_in_prieto
Nembrotha cristata,True,False,only_in_prieto
Notodoris minor,True,False,only_in_prieto
Okenia vena,True,False,only_in_prieto
Onchidoris muricata,True,False,only_in_prieto
Onchimira cavifera,True,False,only_in_prieto
Outgroup,True,False,only_in_prieto
Palio dubia,True,False,only_in_prieto
Paradoris liturata,True,False,only_in_prieto
Peltodoris nobilis,True,False,only_in_prieto
Phyllidiella nigra,True,False,only_in_prieto
Phyllidiopsis krempfi,True,False,only_in_prieto
Platydoris sanguinea,True,False,only_in_prieto
Plocamopherus pecoso,True,False,only_in_prieto
Polycera aurantiomarginata,True,False,only_in_prieto
Reticulidia halgerda,True,False,only_in_prieto
Roboastra gracilis,True,False,only_in_prieto
Rostanga pulchra,True,False,only_in_prieto
Sclerodoris tuberculata,True,False,only_in_prieto
Showajidaia sagamiensis,True,False,only_in_prieto
Tambja marbellensis,True,False,only_in_prieto
Taringa telopia,True,False,only_in_prieto
Thecacera sp.,True,False,only_in_prieto
Thordisa albomacula,True,False,only_in_prieto
Thorunna florens,True,False,only_in_prieto
Trapania reticulata,True,False,only_in_prieto
Triopha catalinae,True,False,only_in_prieto
Tyrannodoris ernsti,True,False,only_in_prieto
Tyrinna evelinae,True,False,only_in_prieto
Vayssierea sp.,True,False,only_in_prieto
Verconia verconis,True,False,only_in_prieto
