species,image_slot,image_id,source,image_url,license,photographer_or_observer,date_accessed,image_downloaded,usable,exclusion_reason,animal_clear,background_clear,notes
Aphelodoris varia,1,Aphelodoris_varia_01,iNaturalist,https://www.inaturalist.org/observations/372571198,CC BY-NC,Erik Schlögl,2026/6/18,no,yes,,yes,yes,Research grade; whole animal clear; colour pattern visible; background visible
Aphelodoris varia,2,Aphelodoris_varia_02,iNaturalist,https://www.inaturalist.org/observations/368879701,CC BY-NC,kaz_dives,2026/6/18,no,yes,,yes,yes,Research grade; whole animal visible; background visible; slightly dark/greenish image
Aphelodoris varia,3,Aphelodoris_varia_03,iNaturalist,https://www.inaturalist.org/observations/358547910,CC BY-NC,Erik Schlögl,2026/6/18,no,yes,,yes,yes,Research grade; whole animal clear; pale colour morph; background visible
Aphelodoris varia,4,Aphelodoris_varia_04,iNaturalist,https://www.inaturalist.org/observations/359383436,All rights reserved,Daniel Smith,2026/6/18,no,no,all rights reserved licence,yes,yes,"Research grade; image clear, but excluded because licence is not open"
Aphelodoris varia,5,Aphelodoris_varia_05,iNaturalist,https://www.inaturalist.org/observations/359123886,CC BY-NC,suenewson / Sue Newson,2026/6/18,no,yes,,yes,yes,Research grade; whole animal visible; background visible; slightly blue/green underwater colour cast
Aphelodoris varia,6,Aphelodoris_varia_06,iNaturalist,https://www.inaturalist.org/observations/357057570,CC BY-NC,Terry Farr,2026/6/18,no,yes,,yes,yes,Research grade; whole animal visible; background visible; close-up image; slightly green/blue underwater colour cast
Aphelodoris varia,7,Aphelodoris_varia_07,iNaturalist,https://www.inaturalist.org/observations/355116698,CC BY-NC,jecomans,2026/6/18,no,yes,,yes,yes,Research grade; whole animal visible; dorsal view; colour pattern visible; background visible
Aphelodoris varia,8,Aphelodoris_varia_08,iNaturalist,https://www.inaturalist.org/observations/346953406,CC BY-NC,Sue Churchill,2026/6/18,no,yes,,yes,yes,Research grade; whole animal visible; background visible; slightly green underwater colour cast; old observation date but recently uploaded
Aphelodoris varia,9,Aphelodoris_varia_09,iNaturalist,https://www.inaturalist.org/observations/342645017,CC BY-NC,Jodie,2026/6/18,no,yes,,yes,yes,Research grade; whole animal visible; dorsal view; strong brown-white pattern; background visible; slightly green/blue underwater colour cast
Aphelodoris varia,10,Aphelodoris_varia_10,iNaturalist,https://www.inaturalist.org/observations/336405238,All rights reserved,Brian R Mayes,2026/6/18,no,no,all rights reserved licence,yes,yes,"Research grade; animal clear and colour pattern visible, but excluded because image has no open reuse licence"
Doriprismatica atromarginata,1,Doriprismatica_atromarginata_01,iNaturalist,https://www.inaturalist.org/observations/372571215,CC BY-NC,Erik Schlögl,2026/6/18,no,yes,,yes,yes,Research grade; whole animal visible; black margin clearly visible; background visible
Doriprismatica atromarginata,2,Doriprismatica_atromarginata_02,iNaturalist,https://www.inaturalist.org/observations/372144286,CC BY-NC,Rod Sleath,2026/6/18,no,yes,,yes,yes,Research grade; whole animal visible; black margin clearly visible; strong contrast with colourful background
Doriprismatica atromarginata,3,Doriprismatica_atromarginata_03,iNaturalist,https://www.inaturalist.org/observations/371909299,All rights reserved,frannyfsh,2026/6/18,no,no,all rights reserved licence,yes,yes,"Research grade; black margin clearly visible; background visible, but excluded because image has no open reuse licence"
Doriprismatica atromarginata,4,Doriprismatica_atromarginata_04,iNaturalist,https://www.inaturalist.org/observations/371623410,CC BY-NC,shuchen_huang,2026/6/18,no,yes,,yes,yes,Research grade; whole animal visible; black margin visible; strong contrast with red background; observation from Taiwan
Doriprismatica atromarginata,5,Doriprismatica_atromarginata_05,iNaturalist,https://www.inaturalist.org/observations/367058829,CC BY-NC,R Lai,2026/6/18,no,yes,,yes,yes,Research grade; whole animal mostly visible; black margin clearly visible; background visible; slightly curled body posture
Doriprismatica atromarginata,6,Doriprismatica_atromarginata_06,iNaturalist,https://www.inaturalist.org/observations/366327418,CC BY,Jay Paroline,2026/6/18,no,yes,,yes,yes,Research grade; whole animal visible; black margin visible; background visible; slightly green/yellow underwater colour cast; observation from Taiwan
Doriprismatica atromarginata,7,Doriprismatica_atromarginata_07,iNaturalist,https://www.inaturalist.org/observations/360814500,CC BY-NC,Terry Farr,2026/6/18,no,yes,,yes,yes,Research grade; whole animal visible; black margin clearly visible; background visible; slightly yellow/green underwater colour cast
Doriprismatica atromarginata,8,Doriprismatica_atromarginata_08,iNaturalist,https://www.inaturalist.org/observations/351931823,CC BY-NC,babarg,2026/6/18,no,yes,,yes,partial,Research grade; animal clear; black margin clearly visible; close-up image; background partly visible; slightly blue/green underwater colour cast
Doriprismatica atromarginata,9,Doriprismatica_atromarginata_09,iNaturalist,https://www.inaturalist.org/observations/351062348,CC BY-NC,gina_mascord / Gina,2026/6/18,no,yes,,yes,yes,Research grade; whole animal mostly visible; black margin clearly visible; background visible; slightly curled body posture
