species,family,chemical_defence_class,unpalatability_ps_ed50,unpalatability_tf_ed50,toxicity_ed50,image_collection_priority,image_search_status,n_images_found,n_usable_images,image_sources_checked,image_collection_notes
Aphelodoris varia,Dorididae,NR; WR/NR,nr,,nr,pilot,not_started,0,0,,
Doriprismatica atromarginata,Chromodorididae,I&II,0.15; 0.37,0.07,0.07,pilot,not_started,0,0,,
Hypselodoris bennetti,Chromodorididae,I&II,0.27,,0.12,pilot,not_started,0,0,,
Phyllidia ocellata,Phyllidiidae,II,0.37,,0.6,pilot,not_started,0,0,,
Phyllidiella pustulosa,Phyllidiidae,I&II; II/WR,0.05; 0.12; 0.2,0.72,0.27; 0.61; 0.85,pilot,not_started,0,0,,
Ardeadoris egretta,Chromodorididae,WR,0.65; > 1,> 1,> 1,full_list,not_started,0,0,,
Ardeadoris rubroannulata,Chromodorididae,I&II,0.083,,0.0007,full_list,not_started,0,0,,
Ceratosoma brevicaudatum,Chromodorididae,WR,>1,>1,0.72,full_list,not_started,0,0,,
Ceratosoma trilobatum,Chromodorididae,WR,>1,,0.68,full_list,not_started,0,0,,
Chromodoris elisabethina,Chromodorididae,I&II,0.45; > 0.13,0.04,0.004,full_list,not_started,0,0,,
Chromodoris kuiteri,Chromodorididae,I&II,0.26,0.08,0.002,full_list,not_started,0,0,,
Dendrodoris krusensternii (=denisoni),Dendrodorididae,NR,, nr,nr,full_list,not_started,0,0,,
Dendrodoris nigra,Dendrodorididae,WR/NR,,nr,> 1,full_list,not_started,0,0,,
Dendrodoris tuberculosa,Dendrodorididae,NR,nr,nr,nr,full_list,not_started,0,0,,
Glossodoris hikuerensis,Chromodorididae,WR,nr,>1,nr,full_list,not_started,0,0,,
Goniobranchus collingwoodi,Chromodorididae,II / WR,0.09,1.12,nr,full_list,not_started,0,0,,
Goniobranchus daphne,Chromodorididae,II,0.43,,> 0.5,full_list,not_started,0,0,,
Goniobranchus splendidus,Chromodorididae,II,0.18; 0.25,,0.52; nr,full_list,not_started,0,0,,
Goniobranchus tasmaniensis,Chromodorididae,II,< 0.25,,0.86,full_list,not_started,0,0,,
Goniobranchus tinctorius,Chromodorididae,II,0.15,,0.86; nr,full_list,not_started,0,0,,
Halgerda aurantiomaculata,Discodorididae,NR,nr,,nr,full_list,not_started,0,0,,
Hypselodoris obscura,Chromodorididae,I,>1,>1,0.35,full_list,not_started,0,0,,
Hypselodoris tryoni,Chromodorididae,,nr,nr,NA (inconclusive),full_list,not_started,0,0,,
Mexichromis festiva,Chromodorididae,WR,>1,,,full_list,not_started,0,0,,
Notodoris (=Aegires) gardineri,Aegiridae,WR,nr,,1.02,full_list,not_started,0,0,,
Phyllidia coelestis,Phyllidiidae,WR,0.31; 0.54,,>1 (1.41),full_list,not_started,0,0,,
Phyllidia elegans,Phyllidiidae,II,0.31,,>1,full_list,not_started,0,0,,
Phyllidia varicosa,Phyllidiidae,I&II; WR,0.02; 0.1; 0.12,>1,0.22; 0.73,full_list,not_started,0,0,,
Phyllidiopsis shireenae,Phyllidiidae,II,0.14,,>1,full_list,not_started,0,0,,
Sebadoris fragilis,Discodorididae,NR,nr,nr,nr,full_list,not_started,0,0,,
