species,in_d04,in_prieto,match_status
Acanthodoris nanaimoensis,False,True,only_in_prieto
Actinocyclus verrucosus,False,True,only_in_prieto
Adalaria slavi,False,True,only_in_prieto
Aegires flores,False,True,only_in_prieto
Akiodoris lutescens,False,True,only_in_prieto
Aldisa sanguinea,False,True,only_in_prieto
Ancula gibbosa,False,True,only_in_prieto
Aphelodoris sp.,False,True,only_in_prieto
Aphelodoris varia,True,False,only_in_d04
Ardeadoris scottjohnsoni,False,True,only_in_prieto
Armodoris anudeorum,False,True,only_in_prieto
Asteronotus cespitosus,False,True,only_in_prieto
Atagema intecta,True,False,only_in_d04
Atagema kimberlyae,False,True,only_in_prieto
Atagema spongiosa,True,False,only_in_d04
Atalodoris oblonga,False,True,only_in_prieto
Bathydoris aioca,False,True,only_in_prieto
Berthelina citrina,True,False,only_in_d04
Cadlina laevis,False,True,only_in_prieto
Cadlinella ornatissima,False,True,only_in_prieto
Caloria indica,True,False,only_in_d04
Calycidoris guentheri,False,True,only_in_prieto
Carminodoris flammea,False,True,only_in_prieto
Ceratophyllidia sp.,False,True,only_in_prieto
Ceratosoma amoenum,True,False,only_in_d04
Ceratosoma brevicaudatum,True,True,matched
Ceratosoma tenue,True,False,only_in_d04
Chromodoris cf striatella QLD,True,False,only_in_d04
Chromodoris magnifica,False,True,only_in_prieto
Chromolaichma edmundsi,False,True,only_in_prieto
Colga pacifica,False,True,only_in_prieto
Conualevia alba,False,True,only_in_prieto
Corambe obscura,False,True,only_in_prieto
Coryphellina rubrolineata,True,False,only_in_d04
Cratena lineata,True,False,only_in_d04
Crimora lutea,False,True,only_in_prieto
Dendrodoris densoni,False,True,only_in_prieto
Dendrodoris fumata,True,False,only_in_d04
Dendrodoris gunnamatta,True,False,only_in_d04
Dendrodoris krusensterni,True,False,only_in_d04
Dermatobranchus dendronephtyphagus,True,False,only_in_d04
Diaphorodoris lirulatocauda,False,True,only_in_prieto
Diaulula sandiegensis,False,True,only_in_prieto
Discodoris coerulescens,False,True,only_in_prieto
Discodoris sp,True,False,only_in_d04
Diversidoris aurantinodulosa,False,True,only_in_prieto
Doriopsilla janaina,False,True,only_in_prieto
Doriopsilla miniata,True,False,only_in_d04
