species,in_d04,in_table_s1,match_status
Aphelodoris varia,True,True,matched
Ardeadoris egretta,False,True,only_in_table_s1
Ardeadoris rubroannulata,False,True,only_in_table_s1
Atagema intecta,True,False,only_in_d04
Atagema spongiosa,True,False,only_in_d04
Berthelina citrina,True,False,only_in_d04
Caloria indica,True,False,only_in_d04
Ceratosoma amoenum,True,False,only_in_d04
Ceratosoma brevicaudatum,True,True,matched
Ceratosoma tenue,True,False,only_in_d04
Ceratosoma trilobatum,False,True,only_in_table_s1
Chromodoris cf striatella QLD,True,False,only_in_d04
Chromodoris elisabethina,False,True,only_in_table_s1
Chromodoris kuiteri,False,True,only_in_table_s1
Coryphellina rubrolineata,True,False,only_in_d04
Cratena lineata,True,False,only_in_d04
Dendrodoris fumata,True,False,only_in_d04
Dendrodoris gunnamatta,True,False,only_in_d04
Dendrodoris krusensterni,True,False,only_in_d04
Dendrodoris krusensternii (=denisoni),False,True,only_in_table_s1
Dendrodoris nigra,False,True,only_in_table_s1
Dendrodoris tuberculosa,False,True,only_in_table_s1
Dermatobranchus dendronephtyphagus,True,False,only_in_d04
Discodoris sp,True,False,only_in_d04
Doriopsilla miniata,True,False,only_in_d04
Doriopsilla peculiaris,True,False,only_in_d04
Doriprismatica atromarginata,True,True,matched
Doris cameroni,True,False,only_in_d04
Glossodoris angasi,True,False,only_in_d04
Glossodoris hikuerensis,False,True,only_in_table_s1
Goniobranchus albonares,True,False,only_in_d04
Goniobranchus alius,True,False,only_in_d04
Goniobranchus collingwoodi,True,True,matched
Goniobranchus daphne,True,True,matched
Goniobranchus geometricus,True,False,only_in_d04
Goniobranchus sp,True,False,only_in_d04
Goniobranchus splendidus,True,True,matched
Goniobranchus tasmaniensis,False,True,only_in_table_s1
Goniobranchus tinctorius,False,True,only_in_table_s1
Halgerda aurantiomaculata,False,True,only_in_table_s1
Hypselodoris bennetti,True,True,matched
Hypselodoris jacksoni,True,False,only_in_d04
Hypselodoris obscura,True,True,matched
Hypselodoris tryoni,True,True,matched
Kaloplocamus acutus,True,False,only_in_d04
Kaloplocamus ramosus,True,False,only_in_d04
Mariona sp,True,False,only_in_d04
Mexichromis festiva,False,True,only_in_table_s1
Nembrotha purpureolineata,True,False,only_in_d04
Notodoris (=Aegires) gardineri,False,True,only_in_table_s1
Onchidoris sp,True,False,only_in_d04
Phyllidia coelestis,False,True,only_in_table_s1
Phyllidia elegans,False,True,only_in_table_s1
Phyllidia ocellata,False,True,only_in_table_s1
Phyllidia varicosa,False,True,only_in_table_s1
Phyllidiella pustulosa,False,True,only_in_table_s1
Phyllidiopsis shireenae,False,True,only_in_table_s1
Phyllodesmium poindimiei,True,False,only_in_d04
Pleurobranchus peroni,True,False,only_in_d04
Pleurobranchus peronii,True,False,only_in_d04
Plocamopherus imperialis,True,False,only_in_d04
Plocamopherus tilesii,True,False,only_in_d04
Polycera capensis,True,False,only_in_d04
Pteraeolidia ianthina,True,False,only_in_d04
Rostanga sp,True,False,only_in_d04
Sebadoris fragilis,False,True,only_in_table_s1
Tenelia sibogae,True,False,only_in_d04
Theracera pennigera,True,False,only_in_d04
