species,in_d05,in_d04_colour,match_status
Aphelodoris varia,True,True,matched
Atagema intecta,False,True,only_in_d04
Atagema spongiosa,False,True,only_in_d04
Berthelina citrina,False,True,only_in_d04
Caloria indica,False,True,only_in_d04
Ceratosoma amoenum,False,True,only_in_d04
Ceratosoma brevicaudatum,False,True,only_in_d04
Ceratosoma tenue,False,True,only_in_d04
Chromodoris cf striatella QLD,False,True,only_in_d04
Chromodoris elisabethina,True,False,only_in_d05
Chromodoris kuiteri,True,False,only_in_d05
Coryphellina rubrolineata,False,True,only_in_d04
Cratena lineata,False,True,only_in_d04
Dendrodoris fumata,False,True,only_in_d04
Dendrodoris gunnamatta,False,True,only_in_d04
Dendrodoris krusensterni,False,True,only_in_d04
Dermatobranchus dendronephtyphagus,False,True,only_in_d04
Discodoris sp,True,True,matched
Doriopsilla miniata,False,True,only_in_d04
Doriopsilla peculiaris,False,True,only_in_d04
Doriprismatica atromarginata,True,True,matched
Doris cameroni,False,True,only_in_d04
Glossodoris angasi,False,True,only_in_d04
Glossodoris vespa,True,False,only_in_d05
Goniobranchus albonares,False,True,only_in_d04
Goniobranchus alius,False,True,only_in_d04
Goniobranchus collingwoodi,True,True,matched
Goniobranchus daphne,False,True,only_in_d04
Goniobranchus geometricus,False,True,only_in_d04
Goniobranchus sp,False,True,only_in_d04
Goniobranchus splendidus,True,True,matched
Hypselodoris bennetti,True,True,matched
Hypselodoris jacksoni,False,True,only_in_d04
Hypselodoris obscura,False,True,only_in_d04
Hypselodoris tryoni,False,True,only_in_d04
Kaloplocamus acutus,False,True,only_in_d04
Kaloplocamus ramosus,False,True,only_in_d04
Mariona sp,False,True,only_in_d04
Nembrotha purpureolineata,False,True,only_in_d04
Onchidoris sp,False,True,only_in_d04
Phyllidia elegans,True,False,only_in_d05
Phyllidia ocellata,True,False,only_in_d05
Phyllidia varicosa,True,False,only_in_d05
Phyllidiella pustulosa,True,False,only_in_d05
Phyllodesmium poindimiei,False,True,only_in_d04
Pleurobranchus peroni,False,True,only_in_d04
Pleurobranchus peronii,False,True,only_in_d04
Plocamopherus imperialis,False,True,only_in_d04
Plocamopherus tilesii,False,True,only_in_d04
Polycera capensis,False,True,only_in_d04
Pteraeolidia ianthina,False,True,only_in_d04
Rostanga sp,False,True,only_in_d04
Tenelia sibogae,False,True,only_in_d04
Theracera pennigera,False,True,only_in_d04
